Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
Myth Busting: Can a blockchain save healthcare?,,Andrea’s Blog,9 min read,"Sep 13,",2017,705,5 responses
What role can Blockchain play when hunting for a new job?,,HackerNoon.com,5 min read,"Sep 21,",2017,1.2K,12 responses
Advantages of Seedify.fund Launchpad for Blockchain Projects,,,4 min read,Jun 5,,917,2 responses
,,,13 min read,"Apr 6,",2016,860,6 responses
Women in Bitcoin and Blockchain Tech — An Opportunity,"When I first started my journey down the bitcoin rabbit hole, I never expected to be surrounded by so many women. People always seem surprised that there are a lot of women who work on various problems — whether technical, academic…",Leaders Series,13 min read,"Mar 21,",2016,321,17 responses
Blockchain jobs and salaries — 2018 report,,HackerNoon.com,10 min read,"Feb 23,",2018,840,7 responses
11 sidechain projects every blockchain developer should know about,,towardsblockchain,7 min read,"Apr 27,",2018,1.1K,4 responses
Building Blockchain Web API Using Swift and Vapor,,HackerNoon.com,6 min read,"Dec 30,",2017,798,2 responses
The state of consumer blockchain from Cryptokitties to Blockstack (+ our market map!),,HackerNoon.com,7 min read,"Jul 25,",2018,928,2 responses
Part 2: How the Transaction Model Enables The Necessary Public Blockchain Adoption,,,8 min read,"Apr 30,",2018,2.8K,
What are Blockchains and Distributed Apps really good for?,,Lightspeed Venture Partners,4 min read,"Nov 21,",2017,510,7 responses
Introducing Zombie Battleground — A Collectible Card Game that Runs on the Blockchain,,Loom Network,9 min read,"May 30,",2018,2.5K,15 responses
The Top Blockchain Developer Frameworks for 2021,,Better Programming,13 min read,Jan 13,,668,4 responses
ASIC Resistance is Nothing but a Blockchain Buzzword,,HackerNoon.com,21 min read,"Aug 6,",2018,1.3K,13 responses
SingularityNET Partners With Nexus to Explore New Blockchain Integrations,,SingularityNET,3 min read,"Jan 27,",2018,2.1K,1 response
My Intentions for Blockchain Governance,,,7 min read,"Oct 5,",2018,1.6K,24 responses
New Programming Blockchain Prices,"A few months ago, I started programmingblockchain.com as a way to train new Bitcoin developers. The events have been a success and I have trained over 40 people thus far.",,2 min read,"Dec 11,",2017,826,11 responses
A closer look at three blockchain phones,So there have been several examples of companies making ‘blockchain-ready’ phones. To…,HackerNoon.com,6 min read,"Oct 24,",2018,808,4 responses
Blockchain and AI: A winning combo,Artificial Intelligence (AI) and Blockchain is the current craze right now. Why is AI important…,Good Audience,6 min read,"Sep 7,",2018,1.3K,6 responses
Long-term trends in blockchain game pre-sales and NFT auctions,,DappRadar.com,5 min read,"Jun 4,",2019,694,
How Artificial Intelligence can support blockchain applications like Telcoin,,,5 min read,"Oct 13,",2017,241,5 responses
The Science and Mathematics of Blockchain Cuties Breeding,,The B.C.U. Times,7 min read,"Jun 25,",2019,605,
Blockcerts — An Open Infrastructure for Academic Credentials on the Blockchain,,MIT MEDIA LAB,4 min read,"Oct 24,",2016,390,4 responses
Essentia to become first blockchain based solution from Finnish Government through collaboration with MTK,,Essentia One,3 min read,"Apr 14,",2018,1.6K,2 responses
Aligning Incentives through EOS Block Producer (BP) Reward Deferrals,,,7 min read,"Jun 17,",2019,758,4 responses
Credits — The Fastest and Most Scalable Blockchain Platform for dApps,,The Capital,6 min read,"Jul 5,",2019,5K,5 responses
The next era of crypto and 1B wallets by 2030,,@blockchain,12 min read,"May 21,",2020,693,30 responses
Six Ways Blockchain is Being Used in Food and Agriculture Supply Chains,,Cultivati,11 min read,"Sep 19,",2018,1.1K,5 responses
Why We’re Putting Sports Cards on the Blockchain,,CryptoStrikers,6 min read,"May 22,",2018,967,7 responses
Meet the Man Who Wants to Fix Dating With the Blockchain,,OneZero,8 min read,"Jun 11,",2019,816,25 responses
Blockchain Oracles,,,4 min read,"Oct 14,",2018,1K,7 responses
CargoX May Revolutionize The Shipping Industry With Blockchain Technology,,HackerNoon.com,4 min read,"Feb 6,",2018,787,5 responses
A simple explanation of how blockchain works,,Mission.org,2 min read,"Feb 4,",2018,650,9 responses
Chain of Events,,@blockchain,3 min read,May 1,,347,3 responses
CEEK VR TO LAUNCH FIRST BLOCKCHAIN ENABLED VIRTUAL REALITY GIFT CARD AT RETAIL WITH GLOBAL PAYMENTS TECH LEADER,,,5 min read,"Mar 21,",2019,6.3K,1 response
Blockchain: What are nodes and masternodes?,"Nodes and masternodes are an increasingly discussed subject in blockchain lately. And rightfully so, because nodes are a critical component of a blockchain’s infrastructure. Without nodes, a blockchain’s data would not be accessible. You could say that…",Coinmonks,7 min read,"Sep 5,",2018,691,4 responses
VeChain and DB Schenker pioneer in the use of blockchain for the logistics industry,,,2 min read,"Jun 12,",2018,2.7K,7 responses
Differences Between Protocol Blockchain and App Blockchain Companies,,HackerNoon.com,3 min read,"Dec 25,",2017,1K,6 responses
"Beyond 2020: How blockchain is reshaping our economic, environmental and social orders Pt I",,The Startup,18 min read,"Feb 14,",2019,941,5 responses
Introducing Rosetta: Build once. Integrate your blockchain everywhere.,,The Coinbase Blog,3 min read,"Jun 17,",2020,1K,
The Four Layers of the Blockchain,"The recent DAO hack has called into question the speed and aggressiveness with which the Blockchain (and specifically Ethereum) community has moved forward on Blockchain applications. Amid many calls for reflection, one that I found especially convincing is Joi Ito’s…",,9 min read,"Jun 22,",2016,581,5 responses
Build a Blockchain PoC Application using Hyperledger Fabric,,,10 min read,"Dec 9,",2018,459,60 responses
Chain of Events,,@blockchain,3 min read,Mar 29,,353,6 responses
Ubex has Attended the Blockchain (DLT) & Crypto Event in Geneva,,Ubex,2 min read,"Jul 15,",2018,5K,
How does the Blockchain Work? (Part 2),,The Blockchain Review by Intrepid,8 min read,"Oct 3,",2016,956,3 responses
Introduction to Quorum: Blockchain for the Financial Sector,,Blockchain at Berkeley,6 min read,"Jan 5,",2018,736,4 responses
MedRec: Electronic Medical Records on the Blockchain,,MIT Media Lab Digital Currency Initiative,3 min read,"Jul 2,",2016,284,8 responses
Glosario Básico sobre Bitcoin y Blockchain,,Astec,3 min read,"Oct 19,",2017,353,1 response
The Exact Process I Used To Create and Sell My Own NFT Art on the Ethereum Blockchain,,Level Up Coding,12 min read,Mar 18,,1.1K,13 responses
Crypto Trading Bot with Gekko on Binance — Day 1 Testing & Reflections,,,5 min read,"Jul 19,",2018,932,24 responses
What I Learned in UC Berkeley‘s Blockchain Class,,Berkeley Blockchain,8 min read,"Jan 24,",2018,661,4 responses
A Beginner’s Intro to Blockchain and Crypto,,Cryptoweek,14 min read,"Mar 1,",2019,1K,6 responses
What the Fork is Telos?,,Good Audience,10 min read,"Sep 27,",2018,1K,3 responses
Why Progressive Decentralization is blockchain’s best hope,,We’ve moved to freeCodeCamp.org/news,5 min read,"Feb 7,",2019,1.4K,14 responses
Blockchains in Healthcare: From Bitcoin to Bitcare,,Analytics Vidhya,8 min read,"Oct 8,",2019,1.2K,4 responses
The Top 10 Blockchain Startups to Watch in 2016,,The Blockchain Review by Intrepid,7 min read,"Jan 8,",2016,325,3 responses
The Subtle Tyranny of Blockchain,,,5 min read,"Aug 18,",2016,387,
,,,7 min read,"Apr 7,",2018,1.4K,10 responses
Ethereum 69: how to set up a fully synced blockchain node in 10 mins,,We’ve moved to freeCodeCamp.org/news,8 min read,"Oct 17,",2018,533,13 responses
Decentralized Data: “Why Blockchain is meaningless and Trustless is everything”,,HackerNoon.com,7 min read,"Jul 10,",2018,787,
Seedify Blockchain Gaming Launchpad— The New Tier System,,,4 min read,Jul 22,,824,3 responses
5 Blockchain Industry Predictions for 2020,,The Capital,8 min read,"Jan 6,",2020,607,8 responses
Why your Blockchain Startup Needs UX Design,,The Blockchain Review by Intrepid,7 min read,"Apr 30,",2018,769,4 responses
SweetTalk Video + Podcast: Ultimate Gupta/Nelson London Blockchain + Supply Chain Throwdown,,Sweetbridge,78 min read,"Sep 26,",2017,1K,6 responses
"Introduction to Blockchain through Cryptoeconomics, Part 2: Proof of Work and Nakamoto Consensus",This is part two of an introductory series about the cryptoeconomic incentive systems that underlie different blockchain protocols and emerging research questions in…,Mechanism Labs,9 min read,"Jul 19,",2018,1.8K,2 responses
Games and Blockchain - What is about to change in the gaming industry.,,EthereumGaming,8 min read,"Jan 12,",2019,1.1K,11 responses
“Blockchain Is More Than A Market. It’s A Movement”,,,3 min read,"Jan 4,",2019,778,6 responses
How to Interpret the Rise of Dogecoin (DOGE)?,,@blockchain,3 min read,May 12,,269,14 responses
99 Bitcoins Reviews Blockchain.com,"This week, popular educational resource, 99 Bitcoins, released a beginner’s guide to…",@blockchain,5 min read,May 1,,367,5 responses
Why the Blockchain Promises a Safer Future and how big Business Will try to Kill it,,,5 min read,"Nov 1,",2017,1.1K,9 responses
Blockchain As a Lingua Franca: A Thing to Consider,,,3 min read,"Oct 19,",2018,5.6K,5 responses
Mobile App Development and Blockchain: Use Cases,"With astronomical rise in the number of smartphones, the mobile app download is expected to rise to 258 billion by 2022 and projected to generate a revenue of $808.7 billion.",,3 min read,"Dec 9,",2019,129,
5 Blockchain Use Cases in Real Estate,"Each industry, be it Agriculture or Supply chain, is keen to explore the invaluable benefits…",,9 min read,"Aug 26,",2019,144,
Verifiable Credentials on the Blockchain,"The world needs a new system to record, house, curate, secure, and distribute evidence of…",Learning Machine is now Hyland Credentials,4 min read,"Jun 3,",2016,311,7 responses
The World’s First True Blockchain Phone is Secure and Decentralized to the Core,,The Startup,3 min read,"Oct 1,",2019,641,3 responses
TRON and Trip.io reached a strategic partnership to jointly build a new world of blockchain travel,"Recently, TRON announced to reach a strategic partnership with Trip.io, the world’s first traveling block chain project. The two sides agreed to strengthen…",TRON,2 min read,"Mar 6,",2018,2K,1 response
What’s the next step in Blockchain technology?,,HackerNoon.com,9 min read,"Aug 2,",2018,1.2K,4 responses
Gulftainer Selects Morpheus.Network As The Global Winner In Blockchain Category,,Morpheus.Network,5 min read,Apr 21,,3.3K,1 response
How to become a blockchain developer,,,8 min read,"Aug 2,",2019,520,3 responses
Crypto-philanthropy: How Bitcoin and Blockchain Are Disrupting the World of Giving,,,8 min read,"Feb 13,",2018,925,9 responses
Blockchain’s Greatest Promise,,Coinmonks,6 min read,"Jan 22,",2019,614,9 responses
Seedify.fund Blockchain Gaming Launchpad — The New Goals & Team Formations,,,6 min read,Jul 25,,836,6 responses
"EMP, Every Media Blockchain Platform",,,2 min read,"Aug 24,",2018,1.5K,
Building a Minimal Blockchain in Python,,Towards Data Science,4 min read,"Jul 13,",2019,611,4 responses
Application of Blockchain Technology in the Manufacturing Industry,,,22 min read,"Nov 18,",2017,658,11 responses
"Demystifying Cosmos: Atomic Swaps, Ethereum, Polkadot and the Path to Blockchain Interoperability",,The Spartan Group,21 min read,"Mar 31,",2019,1.3K,4 responses
Choosing private blockchain tech: Quorum,"More and more companies have become interested in blockchain technology. The promise of this technology is big: increased transparency, reduced dependence on intermediaries, reduced fraud and many others. There are a multitude of articles on the future of…",HackerNoon.com,7 min read,"Dec 1,",2017,740,14 responses
Cryptocurrency and Blockchain: ‘Tis The Future,,The Block,26 min read,"Jan 4,",2018,2K,7 responses
[ANN] Dubai International Blockchain Summit 2018,,Pundi X,1 min read,"Jan 2,",2018,24,7 responses
What’s the Difference Between Blockchain & Distributed Ledger Technology?,,The Blockchain Review by Intrepid,5 min read,"Feb 25,",2019,745,8 responses
What is Blockchain? (a simple explanation),,Zebpay,5 min read,"Mar 10,",2016,799,10 responses
Security Tokens: How Wall Street and Blockchain Will Collide,,Future Blok,6 min read,"May 6,",2018,1.4K,1 response
"Actually, Blockchain is the most scalable and user-centric technology",,Jarvis Network,4 min read,"Dec 6,",2018,1.7K,5 responses
Blockchain gaming from a traditional gamer perspective,,Spores Network,8 min read,Jul 5,,1.95K,7 responses
Blockchain 101- เข้าใจ Blockchain แบบง่าย(มั้ง),หลังจากไม่ได้เขียนบล็อกมาตั้งแต่สมัยหนุ่มๆ มาวันนี้ตัองเตรียมตัวพรีเซ้นท์งานเรื่อง Blockchain ให้เข้าใจง่ายๆ เลยถือโอกาสเขียนอธิบายง่ายๆในนี้แทน ไม่แน่ใจว่าจะงงกว่าเดิมหรือเปล่า จะพยายามอธิบายให้ง่ายที่สุดนะครับ,,6 min read,"Jan 10,",2017,323,
"Crypto In This Crisis :: Pantera Blockchain Letter, March 2020",,,12 min read,"Mar 27,",2020,1K,3 responses
Blockchain Consensus And Fault Tolerance In A Nutshell,,Coinmonks,17 min read,"Jan 6,",2019,706,3 responses
How NFT’s Can Help the Music Industry,,Technology Hits,4 min read,Apr 18,,137,1 response
Norton Antivirus Will Now Allow You to Mine Ethereum From Your Computer,,DataDrivenInvestor,3 min read,Jun 4,,63,1 response
Democracy Dies in Digital Dollars,,DataDrivenInvestor,8 min read,May 15,,74,1 response
The Five Most Popular Cryptocurrency Scams You Need to Know About,,The Capital,4 min read,Aug 25,,425,3 responses
Trilium — The Groundbreaking Cross-Platform Token Underpinning the Alien Worlds Metaverse,,,2 min read,"Sep 22,",2020,76,
Ethermon CoinMarketCap DIAMOND Loyalty Rewards Program Claiming Process,,Ethermon,3 min read,Aug 25,,36,2 responses
"Energy Web Token Now Listed on BitMart, Available to U.S. Stakeholders",,Energy Web Insights,3 min read,"May 4,",2020,96,
Big crypto projects are using Dutch Auctions for their token sale — here’s why,,HackerNoon.com,6 min read,"Jun 24,",2019,128,1 response
Polkadex Testnet: How to run a validator node,,Polkadex,3 min read,Aug 26,,66,
Explainer on how our design architecture powers the future of NFTs.,,,7 min read,Jun 15,,60,
Introducing Simple Trade,Your first day on a crypto exchange can be overwhelming. Our support team has helped thousands of customers through…,@blockchain,2 min read,"Sep 29,",2020,408,1 response
WAX Blockchain Tokens to be Issued in 2018,,WAX.io,1 min read,"Dec 19,",2017,1.4K,6 responses
"POA Network partners with MakerDAO on xDai Chain, the first ever USD-Stable Blockchain!",,POA Network,4 min read,"Oct 18,",2018,1.5K,4 responses
Joe Rogan Learns About Blockchain Technology With Dr. Ben Goertzel,,SingularityNET,6 min read,"Dec 7,",2018,887,2 responses
Blockchain: Understanding The Hype.,,HackerNoon.com,8 min read,"Oct 4,",2017,378,2 responses
Second Day of International Blockchain Congress in Hyderabad,,Ubex,3 min read,"Aug 8,",2018,4.92K,
What’s the difference between blockchain and DLT?,,,2 min read,"Feb 8,",2018,1K,3 responses
"EMP, 모두를 위한 미디어 블록체인 플랫폼",,,3 min read,"Aug 24,",2018,1.5K,
"En basit tabirle, Blockchain nedir? Nasıl çalışır?",Merhaba Medium Dünyası.,Finartz,9 min read,"Mar 5,",2018,352,1 response
Blockchain Incentive Structures: What they are and why they matter,,Prysm Group,4 min read,"Aug 22,",2018,1.97K,1 response
Game Developers: Develop Blockchain Games without Knowing Blockchain Programming — with the Loom Unity SDK,,Loom Network,4 min read,"May 12,",2018,1.7K,7 responses
28 Blockchain games to keep an eye on in 2020,,The Startup,19 min read,"Dec 30,",2019,769,5 responses
Why the Blockchain Promises a Safer Future and how big Business Will try to Kill it,,,5 min read,"Apr 3,",2018,774,6 responses
Every Media blockchain Platform in BIF 2018,,,3 min read,"Jul 27,",2018,1.6K,
EMP의 핵심 멤버를 소개합니다,,,5 min read,"Aug 28,",2018,1.6K,
What Happens When You Combine Blockchain and Machine Learning,,,3 min read,"Aug 7,",2017,471,4 responses
"Blockchain.com Raises $300M Series C led by DST, VY Capital & Lightspeed",,@blockchain,2 min read,Mar 24,,535,24 responses
Choosing an Enterprise Blockchain: An exhaustive guide,,The Startup,8 min read,"Aug 16,",2019,791,5 responses
https://hackernoon.com/tagged/startupWhy Blockchain Matters,,HackerNoon.com,8 min read,"Sep 12,",2018,2.8K,1 response
What’s going to happen with Real Estate + Blockchain,,Fabrica,7 min read,"Mar 22,",2018,419,11 responses
Matrixswap: ADA and Dot Blockchain Game Changer,,Maven Capital,4 min read,May 29,,4.8K,10 responses
Seedify Blockchain Gaming Launchpad — The New Focused Approach on Product Side,"In our first article regarding the changes that are taking place in Seedify.fund while transforming into a Blockchain Gaming Launchpad, we have covered “The New Tier System”.",,5 min read,Jul 24,,878,4 responses
Create Your Own Cryptocurrency in Private Consortium Network Ethereum Azure Blockchain,,,10 min read,"Jan 15,",2019,346,4 responses
"Beyond Bitcoin, Can Blockchain Technology Change the World?",,The New York Times,5 min read,"Mar 21,",2018,596,7 responses
🇬🇧Watch out for DeFiChain Easter Eggs this week and win up to 200 DFI FREE!,,,3 min read,Mar 29,,4.5K,1 response
A Brief History of Blockchain: An Investor’s Perspective,,Mission.org,15 min read,"Jul 19,",2017,287,6 responses
SMARTKEY TO INTEGRATE WITH GEODB TO BUILD THE BLOCKCHAIN-BASED IOT DATA EXCHANGE ECOSYSTEM,,,4 min read,Feb 25,,398,2 responses
What does the 2018 crypto market crash mean for blockchain adoption?,,London Blockchain Labs,8 min read,"Jan 17,",2019,765,8 responses
Layer 1 vs Layer 2 : What you need to know about different Blockchain Layer solutions,,The Capital,5 min read,"Mar 1,",2020,1.1K,6 responses
An Introduction to Auction Theory: Blockchain Edition,,Cryptoeconomics.study,12 min read,"Oct 19,",2018,760,4 responses
AR and Blockchain: A Match Made in The AR Cloud,,Super Ventures Blog,10 min read,"Feb 24,",2018,772,4 responses
Incomplete Contracts and Blockchain,,Prysm Group,5 min read,"Apr 4,",2018,2.1K,3 responses
Hyperledger — Chapter 10| Blockchain Application on Hyperledger Fabric,This is the final chapter of this ten part series in which we will put everything together. Right from setting up the peer network and use the Node.js SDK to develop the tuna fish application which tracks a…,The Startup,8 min read,"May 14,",2018,654,14 responses
Is It Hard to Build a Blockchain From Scratch?,,The Startup,8 min read,Jan 14,,1.3K,6 responses
Pure Proof-of-Stake Blockchains,,Algorand,5 min read,"Mar 27,",2018,745,7 responses
How Polkadot tackles the biggest problems facing blockchain innovators,,Polkadot Network,8 min read,"Jun 7,",2018,971,3 responses
"Solana, Garda Terdepan Pendobrak Pengembangan Dunia Blockchain menjadi lebih Efisien dan Terpercaya",,,2 min read,Mar 5,,268,1 response
Reef Chain the DeFi Blockchain Launch,We are pleased to announce that Reef Finance will be launching the Canary version of the…,Reef Finance,3 min read,May 20,,796,1 response
Building a Blockchain based application,,,8 min read,"Jan 25,",2017,491,4 responses
Blockchain Startups VCs Should Invest In,"Recently I did some research on blockchain, the science behind it, the applications of blockchain in the financial sector as well as other sectors. I then identified the different types of startups that can be formed (or are formed) based on blockchain in the…",,12 min read,"Oct 2,",2017,290,5 responses
How to set up a multi-node private Ethereum blockchain on your Mac,,,8 min read,"Aug 17,",2018,391,7 responses
So when should you consider a blockchain? Answers with Flow Charts.,,,4 min read,"Oct 31,",2018,571,6 responses
A Blockchain Solution For Identity?,Video and transcript below. Slides available here.,Mattereum - Humanizing the Singularity,44 min read,"Jul 7,",2017,893,7 responses
Founding of Indonesian Blockchain Association,,Pundi X,1 min read,"Dec 24,",2017,,9 responses
Create your own Cryptocurrency in Ethereum Blockchain,,Coinmonks,11 min read,"Jul 17,",2018,597,12 responses
Walmart China Takes on Food Safety with VeChainThor Blockchain Technology,,VeChain Foundation,6 min read,"Jun 25,",2019,2.2K,4 responses
Explicando o blockchain para m̷a̷c̷o̷n̷h̷e̷i̷r̷o̷s̷ crianças de cinco anos,,Codando by Le Wagon,4 min read,"Aug 23,",2016,511,7 responses
Blockchain.com raised a $120M strategic growth round led by macro investors,,@blockchain,6 min read,Feb 17,,809,17 responses
"Blockchain is going to hit the media industry hard, just like the Internet","In countless conversations with creators, artists, and media executives across photography, music, publishing, TV and film, it’s clear that the media industry is destined to make the same mistake in…",The BigchainDB Blog,7 min read,"Feb 17,",2016,159,7 responses
"Loom SDK Projects: Neon District, a Blockchain-Based Cyberpunk RPG",,Loom Network,5 min read,"May 7,",2018,2K,5 responses
Blockchains as a Public Good,,,8 min read,"Sep 11,",2018,992,4 responses
Tokenized NRG is tradeable on the Ethereum blockchain!,,Energi,3 min read,"Oct 16,",2020,2.2K,9 responses
Why Blockchain Needs Sci-Fi Right Now,,ConsenSys Media,6 min read,"Oct 6,",2018,769,9 responses
Five Generations Of Computers & Blockchain,,,3 min read,"Dec 1,",2018,4.5K,
"Matic Network Becomes Polygon, Ethereum’s Internet of Blockchains — Expands Mission and Tech Scope",,The Polygon Blog,7 min read,Feb 9,,969,1 response
Distributed Hash Tables And Why They Are Better Than Blockchain For Exchanging Health Records,Distributed Hash Tables are a form of a distributed database that can store and retrieve information associated with a key…,,8 min read,"Dec 27,",2017,769,3 responses
"A Technical Overview of the XYO Network, Blockchain’s Cryptographic Location Oracle Network",,XYO Network,28 min read,"Feb 21,",2018,1.4K,
Public and Private Blockchains: Enemies or Allies? Why the Enterprise Ethereum Alliance will prove the latter,The Enterprise Ethereum Alliance is launching today (http://www.enterpriseethereumalliance.org). Several of the world’s most prominent companies…,,5 min read,"Feb 28,",2017,320,8 responses
An open love letter to Bitcoin,"Like you, we don’t know Satoshi Nakamoto. But we’re hoping to get this love letter to Bitcoin — if you…",@blockchain,2 min read,Feb 12,,295,7 responses
Blockchain Cuties — 1.64 Patch Notes & all new year patches,,Blockchain Cuties Universe,8 min read,"Jan 22,",2019,4.6K,1 response
The most popular programming languages used in blockchain development,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jan 18,",2019,681,3 responses
How Blockchains Will Enable Privacy,,Towards Data Science,17 min read,"Mar 4,",2018,433,3 responses
Blockchain Programming for New Developers — I,,,8 min read,"Nov 16,",2018,689,1 response
"Theta Token Minter now live, creating TNT-20 tokens on Theta blockchain",,Theta Network,2 min read,"Dec 28,",2020,1.5K,1 response
Blockchain Could Provide ID for Those Who Need It Most,,OneZero,6 min read,"Oct 17,",2019,607,6 responses
Blockchain Communities and Their Emergent Governance,,Amentum,11 min read,"Nov 20,",2018,943,4 responses
The Decentralized Internet is Here: Web 3.0 and the Future of Blockchain-Powered Future,,bitfishlabs,7 min read,"Dec 6,",2018,825,10 responses
Smart Contracts vs. Application-Specific Blockchains,,Figment,7 min read,"Dec 13,",2018,611,5 responses
Do Security Tokens Need a New Blockchain? Benefits and Challenges [Part I],,HackerNoon.com,4 min read,"Oct 25,",2018,794,1 response
WHISPER: An EOS Whistleblower Initiative,,Good Audience,9 min read,"Oct 6,",2018,852,1 response
Crypto and the US Election: The electoral voting system upgrade we desperately need,,@blockchain,13 min read,"Nov 7,",2020,223,5 responses
How blockchain can drastically simplify business processes.,,berndruecker,6 min read,"Jan 16,",2018,624,9 responses
"TRON and BitGuild reached a strategic cooperation, the blockchain game territory continues to expand","Recently, TRON announced a strategic cooperation with BitGuild, a blockchain game platform, the two sides will strengthen cooperation on the online game for…",TRON,2 min read,"Mar 7,",2018,1.7K,1 response
"We fixed the dollar, by fixing it to crypto","Today, we’ve partnered with Paxos to break down a financial barrier for people…",@blockchain,2 min read,"May 1,",2019,457,7 responses
How To: Deploy Smart Contracts Onto The Ethereum Blockchain,,mercuryprotocol,5 min read,"Dec 21,",2017,720,12 responses
MUST READ: Blockchain Data shows Most Projects Hoarding 70–90% of Their Own AltCoin’s Supply.,,,3 min read,"Aug 17,",2020,720,6 responses
Metaverse Identity on the Blockchain,"As we begin to live and work in digital spaces, we must design an identity system that is safe, secure, and decentralized like the web. A combination of the blockchain and digital certificates seems like the best design.",,7 min read,"Feb 16,",2017,402,8 responses
Introducing the new Blockchain.com monthly newsletter — April Edition: “After the Dust Settles”,,@blockchain,15 min read,"Apr 6,",2020,419,2 responses
A note on the Bitcoin Cash fork on 15 November 2020,,@blockchain,2 min read,"Nov 13,",2020,491,15 responses
,,,4 min read,"Jul 30,",2015,383,3 responses
Is There a Future for Blockchain?,,HackerNoon.com,4 min read,"May 13,",2018,851,3 responses
From Ethereum to Enigma: Understanding Privacy Protocols in the Blockchain,,HackerNoon.com,5 min read,"Jul 12,",2018,485,5 responses
Why the blockchain revolution has no leader — on purpose,,,14 min read,"Dec 10,",2018,1.1K,25 responses
Blockchain for Personal Data Privacy in Healthcare,,PikcioChain,5 min read,"Oct 16,",2018,2.6K,2 responses
Liechtenstein Blockchain Act: How can nearly any right and therefore any asset be tokenized based,,,12 min read,"Oct 7,",2019,1.3K,5 responses
Tokoin and TomoChain Team-Up to Build Blockchain Infrastructure for MSMEs,,,2 min read,"Jun 20,",2019,2.1K,49 responses
Crypto Triangular Arbitrage with on Binance Exchange with Python — Videos and Code — Real World Example,,,4 min read,"Jun 20,",2018,701,4 responses
Notice of blockchain movements,"Over the next seven days, Coinbase will be running scheduled maintenance across our platform that may cause movements on all Coinbase-supported blockchains. These are controlled, closely monitored movements that are being performed in order to provide enhanced security and…",The Coinbase Blog,1 min read,"Nov 29,",2018,500,
"Meet the Proffer Hackathon Winners, applying blockchain for societal good",,Proffer Network,11 min read,"Nov 20,",2017,708,1 response
Understanding the SEC’s Guidance on Digital Tokens: The Hinman Token Standard,,,6 min read,"Jan 10,",2019,1K,2 responses
Polkadot: How it could integrate with 4 blockchain networks — and what’s in it for us as developers,,Stephan Tual’s Blog,10 min read,"Jul 23,",2017,509,3 responses
"Swiss blockchain startups launch a Crypto bank, ETP & AI managed stable coin",,Technicity,6 min read,"Nov 22,",2018,761,11 responses
Why Blockchain Games?,,Hashed Team Blog,8 min read,"Apr 2,",2019,1.1K,5 responses
Fungible Tokens vs Non Fungible Tokens: Why NFT is instrumental in the Future of Blockchain Economy?,,CosmosCR,4 min read,"Dec 12,",2018,1.2K,2 responses
How to set up a private Ethereum blockchain and deploy a Solidity Smart Contract on the blockchain — in less than 20 mins!,,Blockchain Bistro,8 min read,"Aug 2,",2018,636,7 responses
Blockchain Explained Simply,,The Startup,6 min read,"Jun 11,",2019,1K,11 responses
Interplanetary Linked Computing: Separating Merkle Computing from Blockchain Computational Courts,,ConsenSys Media,13 min read,"Jan 3,",2017,367,7 responses
Nucleus Vision’s recently announced protocol to power Govt of Assam Blockchain applications,,,2 min read,"May 5,",2018,1.6K,4 responses
The Decentralized Cloud Vision of the DFINITY Blockchain,,The Internet Computer Review,9 min read,"Jul 25,",2017,591,5 responses
Why I registered my vaccines on the blockchain,,London Blockchain Labs,9 min read,"Feb 7,",2019,505,6 responses
The Intersection of IoT and Blockchain,"A key element of my investment thesis has been that entrepreneurs innovate when institutions can’t — or won’t. That’s especially true in networking, where I’ve been proud to back winners who innovated their way past skeptics to create incredible value in the…",,3 min read,"May 15,",2018,1K,3 responses
Meet Gimmer at the Blockchain Summit London!,,,2 min read,"Nov 5,",2017,1.3K,
Tendermint Explained - Bringing BFT-based PoS to the Public Blockchain Domain,,Cosmos Blog,10 min read,"May 11,",2018,600,3 responses
Programming Blockchain in Javascript,,DigitalCrafts,2 min read,"Jan 17,",2018,464,2 responses
The 4 UX Problems When Designing Blockchain-Based Smart Contracts,,Prototypr,6 min read,"Aug 17,",2018,641,8 responses
Public blockchain fee cyclicality and negative feedback loops,,,20 min read,"Oct 5,",2020,732,6 responses
"Macro Impact On Bitcoin :: Pantera Blockchain Letter, April 2020",,,18 min read,"May 4,",2020,612,3 responses
From Icarus to basic sanity: blockchain technology and the power of not knowing,,The CoinFund Blog,5 min read,"Jul 9,",2018,848,13 responses
Could blockchain soon upend America’s power markets?,,The Fourth Wave,4 min read,"Apr 4,",2018,490,1 response
How is Blockchain Disrupting the Supply Chain Industry?,,HackerNoon.com,14 min read,"Aug 10,",2018,885,5 responses
Blockchain and Tokenization: Beyond the Hype,,,7 min read,"Sep 25,",2018,988,6 responses
Blockchain and Big Data: the match made in heavens,Big Data has been around for a while and blockchain technology currently rides the hype wave. What results can the concoction of these two innovations produce?,Towards Data Science,3 min read,"Feb 21,",2018,174,2 responses
An Introduction to DAGs and How They Differ From Blockchains,,Fantom Foundation,4 min read,"Jun 20,",2018,903,1 response
Blockchain for Agriculture,,The Startup,20 min read,"Nov 4,",2019,1.8K,5 responses
Join Blockchain Cuties! We Have Dragons,Cutieneer community has been crazy about dragons for some time.,Blockchain Cuties Universe,3 min read,"Jan 9,",2019,4.2K,
