Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
Should iOS devs learn Kotlin or other programming languages?,,Essential Developer — iOS,7 min read,"Jul 2,",2019,468,2 responses
Reactive Programming with Kotlin for Android,,BestSecret Tech,9 min read,"May 28,",2019,640,
These are the top Computer Science terms you should know if you’re new to programming,,,8 min read,"Oct 23,",2018,666,2 responses
11 Programming Languages With Their Honest Slogans,,JavaScript in Plain English,3 min read,Mar 25,,466,8 responses
Dysfunctional programming in Java 4 : No nulls allowed,,,11 min read,"Oct 27,",2018,494,
Functional Programming 101,,,5 min read,"Feb 11,",2016,243,6 responses
,,Bessemer Venture Partners,6 min read,"Apr 2,",2017,288,2 responses
Why decorators in Python are pure genius,,Towards Data Science,6 min read,Mar 9,,1.8K,11 responses
4 Powerful JavaScript Operators You’ve Never Heard Of,,JavaScript in Plain English,3 min read,"Oct 19,",2020,2.4K,8 responses
I created the exact same app in React and Svelte. Here are the differences.,,JavaScript in Plain English,16 min read,"Nov 21,",2019,2.4K,19 responses
Insights and My Experience From My Interview at Facebook,,Better Programming,8 min read,"Jun 8,",2020,2.5K,17 responses
How NOT to design Netflix in your 45-minute System Design Interview?,,HackerNoon.com,7 min read,"Feb 28,",2017,2.1K,6 responses
What is the Difference Between A URL And A URI?,,Weekly Webtips,4 min read,Jul 6,,2K,17 responses
Deploying a Python Web App on AWS,,Towards Data Science,6 min read,"Nov 19,",2018,2.5K,11 responses
Firebase Almost Ruined My Startup,,Better Programming,5 min read,Jul 5,,3.1K,66 responses
6 Amazing Frontend Coding Tips That You Probably Don’t Know,,Dev Genius,3 min read,Jul 3,,2.3K,17 responses
"Top 70 Interview Questions on Machine Learning, Programming and Banking",,Analytics Vidhya,15 min read,May 30,,211,1 response
Course 1 — Algorithmic toolbox — Part 4: Dynamic programming,,Towards Data Science,17 min read,"Apr 16,",2017,412,5 responses
An intro to Functional Programming in JavaScript~ (and React and/or Vue),,,34 min read,"May 18,",2018,975,3 responses
Dysfunctional programming in Java 5 : No Exceptions,,,11 min read,"Nov 1,",2018,458,4 responses
Mengenal Paradigma Functional Programming di JavaScript,,,4 min read,"Jun 20,",2017,506,4 responses
Swift 5: Why Is Protocol-Oriented Programming Essential,,Geek Culture,4 min read,Mar 5,,380,2 responses
Kotlin Tips and Tricks for Efficient Programming,,Simform Engineering,8 min read,Aug 2,,1.3K,2 responses
5 reasons to learn a new Programming Language in 2020,,Towards Data Science,6 min read,"Dec 27,",2019,467,3 responses
Event-driven programming for Android (part I),,Google Developers Experts,3 min read,"Jan 26,",2015,204,2 responses
Arrow 101 - Building an Android app using Functional Programming,,,7 min read,"Jun 18,",2018,835,2 responses
The most important non-programming skills for programmers,,We’ve moved to freeCodeCamp.org/news,10 min read,"Nov 6,",2018,1K,2 responses
6 Habits I Learned From Programming,,Better Programming,3 min read,"Sep 9,",2020,601,6 responses
,,Smalltalk Talk,5 min read,"Jul 2,",2015,674,13 responses
An Introduction to the Crystal Programming Language,,HackerNoon.com,2 min read,"Aug 25,",2017,800,5 responses
7 Free Programming Books every Data Scientist should read in 2020,,Towards Data Science,6 min read,"Oct 5,",2020,217,1 response
Spirituality + Programming,,HackerNoon.com,4 min read,"Jan 9,",2018,510,2 responses
10 Best Free Websites To Learn Programming,,Towards Data Science,11 min read,Feb 27,,465,2 responses
How to Learn Programming Like Einstein Learned Physics,,Towards Data Science,13 min read,"Feb 24,",2020,384,2 responses
Dynamic Programming Patterns,,Dynamic Programming Patterns,8 min read,Apr 9,,592,
These are the programming languages Google uses,,,4 min read,Apr 14,,341,15 responses
How To Learn Programming When You Don’t Know Where to Start,,Better Programming,4 min read,"Jul 25,",2019,323,1 response
Accidental and Essential Complexity — Programming Word of the Day,,Background Thread,5 min read,"Jul 10,",2018,686,5 responses
An Intro to Integer Programming for Engineers: Simplified Bus Scheduling,,Make Computer Science Fun Again,15 min read,"Nov 15,",2016,219,9 responses
Old Is Gold: This Very Old Programming Language Is Getting Bold Again,,ILLUMINATION,3 min read,Apr 19,,370,18 responses
5 reasons why eXtreme Programming isn’t popular,,Agility Path,11 min read,"Jun 11,",2016,533,11 responses
,,,5 min read,"Jan 3,",2014,145,2 responses
10 Lessons I Have Learnt While Starting Programming as a Beginner,,Towards Data Science,7 min read,"Jan 15,",2020,481,2 responses
Exploring Folds: A Powerful Pattern Of Functional Programming,,,8 min read,"Jul 13,",2017,516,4 responses
Demystifying Async Programming in Javascript,,Button Blog,12 min read,"Mar 23,",2017,125,4 responses
Functional Programming (not necessarily with Java!),,HackerNoon.com,6 min read,"Aug 28,",2018,344,1 response
7 Great Sources for Programming Humor,,Better Programming,4 min read,"May 1,",2019,458,3 responses
Cure Impostor Syndrome with Functional Programming,,Better Programming,9 min read,"Jun 29,",2019,699,8 responses
Our Ageing Computer Programming Workforce,,The Ironkeel Collection,6 min read,"Oct 1,",2019,3.9K,
The most popular programming languages used in blockchain development,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jan 18,",2019,681,3 responses
Blockchain Programming for New Developers — I,,,8 min read,"Nov 16,",2018,689,1 response
Web programming for cartographers — beyond the basics,,,6 min read,"Nov 14,",2018,408,2 responses
Top 21 String Programming Interview Questions for Beginners and Experienced Developers,,Javarevisited,7 min read,"Feb 16,",2020,421,1 response
A better way for asynchronous programming: asyncio over multi-threading,,Towards Data Science,6 min read,"Feb 16,",2020,298,4 responses
Real-world dynamic programming: seam carving,,The Startup,18 min read,"May 29,",2019,714,1 response
,,,6 min read,"Jul 11,",2018,382,4 responses
How Programming Helps Me Heal,,OneZero,4 min read,Apr 20,,574,3 responses
Ping Pong Pair Programming,The most effective form of pair programming I’ve experienced is called Ping Pong Pair Programming. I find it so…,,8 min read,"Apr 18,",2015,420,1 response
5 Data Science Programming Languages Not Including Python or R,,Towards Data Science,6 min read,Feb 13,,354,5 responses
Protocol-Oriented Programming vs. Object-Oriented Programming in Swift,,Better Programming,8 min read,"Feb 28,",2020,1.6K,1 response
What they don’t say about Pair Programming,,Level Up Coding,5 min read,"Feb 13,",2020,436,8 responses
談談 JavaScript 那些常見的 Functional Programming 的概念帶來了怎樣的好處,,,2 min read,"Feb 5,",2018,403,1 response
What’s on Your Programming Reading List?,,Level Up Coding,6 min read,"Oct 23,",2020,424,3 responses
Artificial Intelligence Programming Python,,,6 min read,"Sep 15,",2018,402,3 responses
"Happy First Birthday, Better Programming!",,Better Programming,2 min read,"May 1,",2020,1.4K,3 responses
Asynchronous Programming as Seen at Starbucks,,EdgeCoders,3 min read,"Mar 22,",2016,446,6 responses
"Functional Programming — Higher Order Function, HOF",,JavaScript in Plain English,5 min read,"Dec 30,",2019,383,5 responses
,,,,"May 16,",2019,596,2 responses
Programming and the Art of Kaizen,,,3 min read,"Jun 10,",2018,667,
"More Programming Languages, Please!",,Star Gazers,17 min read,Mar 6,,659,5 responses
No experience? Here’s how you get a programming job,,,4 min read,"Jul 26,",2017,605,14 responses
Why ReactiveX is the only Functional Programming library you must Learn,,,5 min read,"Oct 19,",2018,572,8 responses
RxSwift and the awesome things you can do with Reactive Programming — Part I,"The first time I heard of reactive programming, this is kind of what I looked like:",,6 min read,"Nov 21,",2016,561,9 responses
Choosing a First Programming Language for Kids and Beginners,,Young Coder,11 min read,"Jun 27,",2019,486,10 responses
My Six Years of Experience as a Go Programming Language Mentor in India,,,16 min read,"Oct 22,",2020,312,4 responses
5 Spectacular Books For Learning New Programming Languages,,Towards Data Science,8 min read,"May 27,",2020,292,1 response
Advanced Android Programming With Kotlin -Part 2,,Programming Geeks,5 min read,"Jan 9,",2020,431,1 response
A Year in Review of R Programming,,Better Programming,4 min read,"Dec 28,",2019,229,3 responses
Step by step on learning Python programming. Easiest way in the world,"Everything here is free. There are many paid books/materials out there, but this free ones are just as good or even better",,2 min read,"Aug 20,",2016,383,1 response
Which Should You Use: Asynchronous Programming or Multi-Threading?,,Better Programming,7 min read,"May 1,",2020,515,2 responses
Programming as a sport,,,4 min read,"May 26,",2019,487,
Python Programming in 15 min Part 3,,Towards Data Science,5 min read,"Jul 28,",2017,545,2 responses
Learn Any Programming Language with This Learning Plan,,Quick Code,7 min read,"Aug 13,",2020,577,2 responses
Music for Programming (2019 edition),,,4 min read,"May 29,",2019,690,6 responses
Dynamic Programming for Data Scientists,,Towards Data Science,6 min read,"Dec 1,",2019,414,
Google Brain Introduces Symbolic Programming + PyGlove Library to Reformulate AutoML,,,3 min read,Feb 2,,189,2 responses
A Hacker’s Guide to Programming Microcontrollers,,,18 min read,"May 17,",2019,272,
Get Started Programming,,,2 min read,"Oct 2,",2016,373,6 responses
It’s Time to Start Learning Coding: Top 20+ Best Websites To Learn Programming in 2020,,Level Up Coding,13 min read,"Jun 23,",2020,616,3 responses
Programming Blockchain in Javascript,,DigitalCrafts,2 min read,"Jan 17,",2018,464,2 responses
10 Easy Hacks That I Practice to Improve My Logic in Programming,,JavaScript in Plain English,5 min read,Mar 5,,257,2 responses
Kontribusi untuk dunia programming di Indonesia,,,2 min read,"Oct 16,",2018,574,10 responses
Programming CSS,"There’s a worrying tendency for “real” programmers look down their noses at CSS. It’s just a declarative language, they point out, not a fully-featured programming language. Heck, it isn’t even a scripting language.",,3 min read,"Dec 4,",2018,436,4 responses
,,,2 min read,"Jan 16,",2016,130,1 response
15 Best VSCode Extensions For Better Programming 2021,,For Self-Taught Developers,10 min read,Feb 21,,412,4 responses
Pen Plotter Programming: The Basics,,,5 min read,"Mar 29,",2017,327,4 responses
How to Learn Programming with Zero Stress,I’ve been teaching Java for quite a while now. So I often share advice on how to learn…,Quick Code,8 min read,"Aug 20,",2020,445,1 response
SwiftUI: Understanding Declarative Programming,,Better Programming,6 min read,"Jun 19,",2019,404,3 responses
Visualize Programming Language Popularity using tiobeindexpy,,Towards Data Science,5 min read,"Mar 6,",2019,364,2 responses
Programming for Data Science: How to Learn Just Enough in Weeks,,Towards Data Science,5 min read,Feb 3,,279,
You Can Only Get Good at Programming by Building Stuff — Here’s a Bunch of App Ideas,,Better Programming,4 min read,"Jun 30,",2019,367,
Android Programming with Kotlin,"Behold, there is a programming language out there called Kotlin, which actually makes life easier for us…",,5 min read,"May 4,",2015,135,3 responses
Introduction to the Basic Principles of Functional Programming in JavaScript,,Better Programming,11 min read,"Jul 29,",2019,611,2 responses
Getting Started With Asynchronous Programming in Python,,Better Programming,6 min read,Jan 6,,337,1 response
Flask Web Programming from Scratch,Complete guide for Flask 1.0 from scratch with SQLAlchemy and Postgres.,HackerNoon.com,13 min read,"May 24,",2018,613,3 responses
Event-Based Asynchronous Programming,,Level Up Coding,8 min read,"Dec 15,",2019,285,3 responses
How Much Programming do I need in Data Science?,,Towards AI,4 min read,"Jul 8,",2020,417,1 response
Functional Programming Paradigm Demystified (Core Concepts),,HackerNoon.com,8 min read,"Jan 15,",2018,722,2 responses
Parallel Programming with Swift — Part 2/4,,Swift India,13 min read,"Sep 25,",2018,831,2 responses
Why some languages won’t be the future of programming,,ITNEXT,2 min read,"Jan 3,",2020,210,23 responses
Great programming talks to watch on your lunch break,,Statuscode,4 min read,"Apr 28,",2017,109,2 responses
5 JavaScript Functional Programming Concepts that You Should Know,,JavaScript in Plain English,4 min read,"Nov 11,",2020,365,5 responses
Why you should learn Reactive Programming,,Corebuild Software,6 min read,"Dec 29,",2017,456,3 responses
The Advantages and Challenges of Pair Programming,,Better Programming,5 min read,"Aug 30,",2019,427,4 responses
Programming WebAssembly with Rust — The Book!!,,,3 min read,"Sep 28,",2018,372,3 responses
B-threads: programming in a way that allows for easier changes,,,8 min read,"Jun 3,",2019,632,10 responses
Dysfunctional programming in Java 6 : No Locks or Synchronized Blocks,,,12 min read,"Nov 11,",2018,276,1 response
Programming in your 50s,,,4 min read,"Apr 7,",2018,521,8 responses
Do I Really Know Programming?,,Better Programming,9 min read,"Sep 17,",2020,405,2 responses
8 Free Online Books and Resources That Cover Most Programming Languages,,Better Programming,5 min read,Mar 30,,353,
Did SwiftUI Just Kill Protocol-Oriented Programming?,,The Startup,6 min read,Jan 22,,362,1 response
How To Write a Programming Book,"If you read Programming books, then your goal is to learn. If you write Programming books then your goal…",,25 min read,Jun 17,,602,4 responses
Asynchronous programming with Kotlin and Coroutines — Lesson 2: Suspension Points,,Background Thread,6 min read,"Jul 24,",2018,435,1 response
,,,,May 20,,234,3 responses
5 Programming Languages You Can Learn in 10 Minutes-ish,,Better Programming,12 min read,Feb 13,,413,8 responses
Top 20 Sites to Learn Programming and Software Development for FREE,,Javarevisited,10 min read,"Feb 29,",2020,421,2 responses
Asynchronous Programming with Thread Pools,,Level Up Coding,9 min read,"Nov 10,",2019,269,3 responses
Array Oriented Programming with Python NumPy,,Towards Data Science,20 min read,"Apr 6,",2020,366,1 response
Getting started with Data Science in 30 days using R programming,This is an attempt to challenge myself to create and help newbies to acquire and experienced to refresh their skillset in R programming. This particular article is a collection of links to all the posts.,,3 min read,"Dec 22,",2017,613,2 responses
Exploring Asynchronous Programming In Dart & Flutter,,FlutterDevs,10 min read,May 20,,2.7K,4 responses
20+ Array Coding Problems and Questions from Programming Interviews,,Javarevisited,7 min read,"Jun 5,",2020,404,
Top 5 Programming Languages to bet on for 2021,,Towards Data Science,6 min read,"Dec 4,",2020,293,2 responses
The Taxonomy of Reactive Programming,,Angular,9 min read,"Jul 13,",2016,152,1 response
A Simple Guide to Object Oriented Programming for Data Scientist,,Towards Data Science,4 min read,"Apr 28,",2020,164,
7 Best Rust Programming Courses and Books for Beginners in 2021,,Javarevisited,11 min read,"Dec 17,",2020,376,6 responses
10 Essential Topics You can Prepare to Crack Coding and Programming Job interviews in 2021,,Javarevisited,15 min read,Apr 14,,392,
6 things I learnt in the 6 months after finishing a programming bootcamp,,,5 min read,"Sep 23,",2019,318,2 responses
Writing a Programming Book: FAQs after Writing Learning React Native,"In 2015, I wrote my first book, Learning React Native, and published it with O’Reilly Media. The book has been out in print for about a month now, and I’m really happy with the reception thus far.",,6 min read,"Feb 11,",2016,257,3 responses
"A 72-hour Hackathon With Zero Programming Experience, Am I Crazy?",,ILLUMINATION,8 min read,"May 12,",2020,3.2K,1 response
Ruby 101: Object Oriented Programming part 1,,The Renaissance Developer,4 min read,"Apr 30,",2017,332,1 response
Intro to Modern Bayesian Learning and Probabilistic Programming,,,8 min read,"Jan 15,",2019,235,
How Ballerina is different from other programming languages,,,6 min read,"Feb 26,",2017,296,3 responses
How to Solve any Programming Problem,,Before Semicolon,10 min read,Mar 18,,418,5 responses
Examples in JavaScript Functional Programming: Part 1,An (unofficial) companion series to Eric Elliott’s series illustrating functional programming concepts in JavaScript; focused on providing additional examples.,codeburst,4 min read,"Jan 16,",2018,406,1 response
Fullstack Programming: A Prelude To Failure,,Towards Data Science,13 min read,"Sep 26,",2019,339,11 responses
Learning Object-Orient Programming with Python in 10 Minutes,,Python in Plain English,7 min read,Feb 20,,324,3 responses
Functional Programming in JavaScript: How and Why,,Bits and Pieces,9 min read,"Aug 21,",2019,858,4 responses
10 Programming Jokes for Programmers,,Level Up Coding,4 min read,"Oct 5,",2020,465,4 responses
Designing and evaluating programming languages: Dagstuhl trip report,,Bits and Behavior,14 min read,"Feb 10,",2018,400,5 responses
The 12 Most Retweeted Programming Quotes,"We all have a favourite quote. Be it a particularly inspiring line, collection of words…",Statuscode,4 min read,"Aug 12,",2016,105,2 responses
My Favorite Pieces of Syntax in 8 Different Programming Languages,,The Startup,5 min read,"Jul 16,",2020,319,9 responses
5 Things That Are Hard To Grasp When You Start Programming,,Level Up Coding,4 min read,"Jun 15,",2020,293,5 responses
4 เสาหลักของ Object-Oriented Programming,,,2 min read,"Jul 19,",2018,179,2 responses
Functional Programming in Ruby — State,,,8 min read,"May 13,",2018,406,
What if Programming Languages Were Game of Thrones Characters? (as a Data Scientist),,Towards Data Science,6 min read,"Dec 8,",2020,415,6 responses
Improve Your Data Wrangling With Object Oriented Programming,,Towards Data Science,12 min read,"Feb 22,",2020,206,2 responses
"Understanding recursion, memoization, and dynamic programming: 3 sides of the same coin",,The Startup,6 min read,"Oct 14,",2019,215,1 response
5 New Year’s Resolutions to Amp Up Your Programming Career,,Towards Data Science,8 min read,"Dec 30,",2019,457,1 response
“Functional” Programming?,,,16 min read,May 29,,380,12 responses
Programming Is Like Sex,,Level Up Coding,5 min read,Jun 7,,394,6 responses
R - Statistical Programming Language,,Towards Data Science,28 min read,"Mar 30,",2020,219,3 responses
Sharing Data Between Different Activities in Android Programming,,Sketchware,5 min read,"Apr 5,",2017,335,4 responses
Programming with JS: Recursion,,HackerNoon.com,4 min read,"Jul 9,",2017,210,4 responses
Why Everybody Hates Pair Programming,,Better Programming,5 min read,Jun 24,,340,24 responses
Why Should Every Engineer Start Considering Developing Analytical and Programming Skills?,,Towards Data Science,7 min read,"Oct 20,",2019,215,2 responses
Go ReactiveX Programming,,,4 min read,"Mar 19,",2017,309,5 responses
OOP vs. Functional Programming — Which Is Better?,,Better Programming,9 min read,Jul 20,,359,4 responses
12+ Java Practice Projects to Improve Your Programming Career Prospects,,Level Up Coding,7 min read,"Dec 16,",2020,389,
Unmasking Bitmasked Dynamic Programming,,We’ve moved to freeCodeCamp.org/news,26 min read,"Jan 3,",2019,831,5 responses
A Java long read : Is functional programming worth it?,,,17 min read,"Apr 6,",2019,312,1 response
Advanced Android Programming in Kotlin (Part 4),,Better Programming,7 min read,"Mar 10,",2020,323,
What is Lazy Evaluation? — Programming Word of the Day,"When a compiler encounters an expression, usually it tries to evaluate it. Evaluation is the process of getting the root meaning of a piece of code. The meaning of 5 + 3 is 8. Our brains also do this: when somebody tells you, ""She's a…",Background Thread,4 min read,"Sep 28,",2018,623,1 response
My favorite courses to learn Object-Oriented Programming and Design in 2021,,Javarevisited,9 min read,"Oct 13,",2019,278,
"Beginning Swift Programming Part 1 — Variables, Constants, and Types",,Swift2Go,10 min read,"Mar 28,",2018,320,
How to stay focused - distraction-free programming in a connected world,,We’ve moved to freeCodeCamp.org/news,5 min read,"Oct 3,",2018,419,3 responses
The Growth of Major Programming Languages,The programming language landscape is one that’s always evolving and growing…,GrapeCity,8 min read,"Nov 13,",2018,285,4 responses
The Better Programming Job Board,,Better Programming,1 min read,"Jan 30,",2020,438,3 responses
Dysfunctional programming in Java 7 : Immutable Collections,,,10 min read,"Nov 18,",2018,266,
Rust off the grid: Introduction to Rust Programming Language.,"Rust is a systems programming language focusing on safety, speed, and concurrency. It accomplishes these goals by being memory safe without using Garbage Collection.",Towards Data Science,6 min read,"Oct 29,",2017,497,1 response
Lessons Learned from Writing 38 Programming Books,,Young Coder,7 min read,"Aug 31,",2020,328,
Programming an STM32F103 board using its USB port (Blue Pill),,,3 min read,"Dec 11,",2016,181,11 responses
The 3 Most Lucrative Programming Skills You Can Learn Online for Free,,,4 min read,"May 11,",2017,83,4 responses
Asynchronous and Parallel Programming in C# .NET,,Geek Culture,9 min read,"Apr 24,",2020,161,2 responses
Kotlin Advanced Programming,,Programming Geeks,6 min read,"Jul 2,",2020,351,3 responses
What is a programming language community and what does it value?,,,8 min read,"Jun 9,",2020,390,11 responses
60+ Programming Jargon Explained for a Junior Developer,,The Startup,11 min read,"Feb 25,",2020,524,
Programming Quantum Computers with Q#,"This week I’m at the NDC Developer Conference in Sydney. While here, I attended a workshop on…",,9 min read,"Sep 20,",2018,298,5 responses
Blockchain Programming for New Developers — II,,,6 min read,"Nov 16,",2018,470,1 response
Asynchronous programming with Kotlin and Coroutines— Lesson 1: Routines,,Background Thread,5 min read,"Jul 17,",2018,463,1 response
Advanced Python: Python Programming guidelines For Multiprocessing,,FinTechExplained,4 min read,"Sep 25,",2020,172,1 response
11 Programming Jokes that Will Make You Die Laughing,,JavaScript in Plain English,7 min read,Jul 13,,522,7 responses
What I’ve Learned In Over Four Decades Of Programming,,CodeX,33 min read,Aug 10,,785,6 responses
,,,,May 22,,279,3 responses
Functional Programming with Python for People Without Time,,,17 min read,"Aug 22,",2018,279,3 responses
Tron Programming Contest,,,2 min read,"Apr 15,",2018,758,5 responses
7 Programming Rules of Thumb,,Better Programming,3 min read,Feb 16,,319,3 responses
"We created a new programming language just for our interview process. Yes, we’re crazy!",,The MomoCentral Times,4 min read,Jul 29,,217,5 responses
10 Best Programming Languages to Learn in 2021,,HackerNoon.com,7 min read,"Jul 12,",2019,472,7 responses
Different States of Soft Keyboard In Android Programming,,Sketchware,3 min read,"May 4,",2017,234,3 responses
"Swift Programming, More Than Just an ‘Apple Language’",,The Startup,7 min read,"Jan 9,",2020,310,6 responses
🛠 Programming Decentralized Money,,,15 min read,"May 15,",2020,712,2 responses
10 Tricky JavaScript Snippets for Programming Interviews,,Coders Equity,4 min read,May 3,,595,5 responses
The 7 JS Array Methods you will need in 2021,,DailyJS,7 min read,Jan 11,,1.3K,16 responses
Understanding Rust Lifetimes,"No, seriously, this time for real",NEAR Protocol,10 min read,"Jan 10,",2019,2.4K,12 responses
Top 5 Distributed System Design Patterns,,Better Programming,7 min read,Jun 4,,1.2K,2 responses
Swift 5: Useful Protocols to Write Like a Pro,,Geek Culture,4 min read,Feb 28,,1.3K,
Building a self-contained game in C# under 8 kilobytes,,,16 min read,"Jan 3,",2020,2.3K,12 responses
Seven Tips To Clean Code With Python,,Analytics Vidhya,5 min read,Jan 27,,884,11 responses
Python Decorators — 5 Advanced Features to Know,,Better Programming,5 min read,"Sep 9,",2020,1.2K,4 responses
Top Python Libraries Used In Data Science,Let us understand what are the most important and useful python libraries that can be…,Towards Data Science,9 min read,"Oct 2,",2019,1.1K,4 responses
How Going Back to Coding After 10 Years Almost Crushed Me,,Better Programming,6 min read,Apr 1,,1.4K,20 responses
Many Python Programmers Cannot Solve This Puzzle,,Towards Data Science,5 min read,"Dec 24,",2020,1.3K,8 responses
Why Code Evolve from Procedural to Object-Oriented to Functional Programming,,Level Up Coding,14 min read,"Aug 15,",2020,224,2 responses
gödel: A Build System for the Go Programming Language,,Palantir Blog,6 min read,"Nov 1,",2017,238,1 response
Don’t Be Dogmatic: The Final Programming Lesson,,Young Coder,5 min read,"Sep 11,",2020,311,7 responses
Level Up your Programming with Programmer’s Pyramid (it’s free!),,Level Up Coding,6 min read,Feb 9,,428,2 responses
How to Create your Own Programming Projects,,Level Up Coding,4 min read,Jan 28,,205,1 response
Why I Wrote a Julia Programming Book,,The Startup,8 min read,"Jul 24,",2020,179,5 responses
What Should You Do When You Are Stuck on a Programming Problem?,,Better Programming,5 min read,Aug 12,,482,8 responses
6 Dynamic Programming problems and solutions for your next coding interview,,educative,16 min read,"Jan 16,",2019,314,2 responses
Essential Programming | Time Complexity,,Towards Data Science,9 min read,"Jan 17,",2020,103,1 response
Five tips for getting started in data science programming,,Towards Data Science,7 min read,"Aug 11,",2019,144,1 response
Is Go a Systems Programming Language?,,,4 min read,Feb 22,,213,8 responses
The Lisp Badge Is a Self-Contained Computer Tailored to Lisp Programming,,,2 min read,"Jan 12,",2019,285,
Programming a Bot with Facebook Messenger,,Chatbots Magazine,5 min read,"Apr 18,",2016,57,14 responses
Clojure & Functional Programming,"After a long time learning and working with object-oriented programming, I took a step back to think…",HackerNoon.com,12 min read,"Dec 21,",2018,278,1 response
Programming Fairness in Algorithms,,Towards Data Science,23 min read,"Jul 2,",2020,211,1 response
"Opinionated programming language choice (only 3 languages, not 10, not 20) in 2020",,The Startup,4 min read,"Oct 14,",2019,311,5 responses
Railway Oriented Programming in Elixir with Pattern Matching on Function Level and Pipelining,,ElixirLabs,4 min read,"Feb 26,",2017,137,7 responses
Pair Programming Fuels Mavenlink’s Mentorship-Driven Engineering Culture,,Job Portraits,18 min read,"Nov 9,",2016,82,
16 Programming Mistakes Most Inexperienced Programmers Make,,JavaScript in Plain English,5 min read,"Oct 27,",2020,286,5 responses
Top 10 Websites to Learn Python Programming for FREE in 2021,,Javarevisited,13 min read,"Apr 22,",2020,195,4 responses
Inteview with Thomas Wiecki about Probabilistic programming and PyMC,,This is not a Monad tutorial,7 min read,"Nov 16,",2018,393,
Programming Languages Used in Blockchain,One of the most common questions related to blockchain is which programming languages are…,,2 min read,"Oct 19,",2019,822,1 response
Making Sense of Zeros and Ones in Programming,,Coding in Simple English,3 min read,"Jun 11,",2018,214,
Understanding Functional Programming with Javascript,,HackerNoon.com,12 min read,"Dec 3,",2018,337,1 response
"A Crash Course in Markov Decision Processes, the Bellman Equation, and Dynamic Programming",,Towards Data Science,8 min read,"Oct 19,",2020,230,2 responses
My favourite programming interview questions,We’re all about posting original content but having found this great article…,Landing.Jobs Blog,5 min read,"Feb 28,",2019,165,
A Quick Look at Object-Oriented Programming (OOP) in Python,,The Pythoneers,6 min read,May 20,,190,2 responses
The Power of Pair Programming Lies in the Execution,,We’ve moved to freeCodeCamp.org/news,5 min read,"Aug 25,",2016,421,3 responses
The Top 16 Websites to Learn Programming in 2020,,Better Programming,8 min read,"Aug 27,",2020,527,1 response
Object oriented programming,,,6 min read,"Feb 20,",2017,213,1 response
Why GitHub Copilot Will Not Change Programming,,Better Programming,5 min read,Jul 5,,360,3 responses
Referential Transparency — Programming Word of the Day,"I usually don’t wear a watch, but recently I found a watch I got as a gift at the bottom of my closet. I dusted it off, went to a watch repair shop to change the battery, and it’s ticking again. Wearing it for a few days, I noticed a…",Background Thread,4 min read,"Jul 26,",2018,401,1 response
Understand Differentiable Programming,,Towards Data Science,4 min read,May 14,,478,1 response
How I actually got into startups and programming,"This week I was saddened to hear of the passing of Dave Mirra, a BMX legend that I grew up idolizing on TV, in magazines, and VHS as he pushed the limits of action sports and BMX during the peak of the X-Games craze.",,4 min read,"Feb 5,",2016,55,7 responses
Shared (dynamic) libraries in the C programming language,,meatandmachines,2 min read,"Jan 15,",2017,327,
Kotlin: The Next Frontier in Modern (Meta)Programming,,Towards Data Science,6 min read,"Oct 11,",2018,215,2 responses
Protocol Oriented Programming Concepts in Swift,,Better Programming,4 min read,"Jan 16,",2020,304,
Smalltalk: It’s Not Your Grandparent’s Programming Language,,Level Up Coding,2 min read,"Jan 6,",2020,284,5 responses
Real World Functional Programming with Kotlin & Arrow,,AndroidPub,5 min read,"Sep 2,",2019,171,1 response
Beginning Swift Programming Part 4 — Decision Making and Loops,,Swift2Go,14 min read,"Apr 1,",2018,395,3 responses
Functions in Mathematics and Programming,,,12 min read,"Dec 26,",2018,222,1 response
10 Must-Watch Programming Movies You Shouldn’t Miss As a Programmer,,JavaScript in Plain English,4 min read,Jun 16,,219,10 responses
Are You Ready for a Programming Career? Five Personal Characteristics to Consider,,Towards Data Science,5 min read,"Jan 11,",2020,152,
Considerations for programming language design: a rebuttal,"Walter Bright, who designed D, wrote an article called “So You Want to Write Your Own Language”. I love D and I respect Mr. Bright, but I disagree with nearly everything he says in it, mostly because D itself and Digital Mars’s…",HackerNoon.com,13 min read,"May 22,",2017,207,4 responses
The 3 Major Divides In Web Programming,,,7 min read,"Aug 8,",2019,335,2 responses
Is Competitive Programming Helpful for Tech Interviews?,,Better Programming,4 min read,"Feb 27,",2020,386,1 response
"8 Best Lambdas, Stream, and Functional Programming Courses for Java Developers in 2021",,Javarevisited,9 min read,"Nov 5,",2020,201,1 response
How to Ask Questions About Programming,,Better Programming,5 min read,"Feb 8,",2020,339,
Functional Programming From an Object-Oriented Perspective,,Better Programming,3 min read,"Dec 11,",2020,176,3 responses
6 Surprising Facts I Learned After 2 Years of Programming,,Better Programming,4 min read,Apr 6,,265,2 responses
What Are JavaScript Programming Paradigms?,,JavaScript in Plain English,8 min read,"Aug 27,",2019,455,
"R Programming (JHU Coursera, Course 2)",,Towards Data Science,2 min read,"Dec 27,",2016,265,2 responses
How TypeScript is making programming better — Tips and tricks after migrating to TS,,"Ably: Serious, serverless realtime infrastructure",7 min read,"Apr 18,",2018,303,3 responses
Pair Programming 🔊,,,5 min read,"Aug 11,",2016,194,1 response
