Statement,Publication,Read_Time,Year,Claps,comments,tag
AWS Services Enable One-Click VeChainThor Blockchain Deployment for Enterprises,bcd,3,2019,1700,1,Crytography
Blockchain Ecology: The Key to a Prosperous Economic Future,INSURGE intelligence,7,2017,626,8,Crytography
What I’ve Learned as a Research Scholar at UC Berkeley Blockchain Lab,The Startup,6,2019,798,1,Crytography
The Power of Blockchain Based Games Lies in Third Party Support,The B.C.U. Times,4,2019,260,0,Crytography
Blockchain is Reshaping the Banking Sector,UniversaBlockchain,6,2018,1000,1,Crytography
Hyperledger : Linux แห่งโลก Blockchain,bcd,3,2017,283,0,Crytography
"Announcing BancorX, the First Cross-Blockchain Decentralized Liquidity Network",Bancor,4,2018,2200,4,Crytography
Flaws of Blockchains and Perspectives on Cryptocurrencies,Holochain,5,2016,430,7,Crytography
The blockchain-enabled intelligent IoT economy,bcd,13,2018,612,0,Crytography
Blockchain Blind Spots,bcd,2,2018,536,6,Crytography
The Future of Freelancing on the Blockchain,bcd,3,2017,587,2,Crytography
Electroneum solves no problem in the blockchain space,bcd,2,2017,510,17,Crytography
10 Ways Blockchain Is Revolutionizing Smart Cities,Smartcity World,5,2018,280,3,Crytography
"Avalanche to Unveil Novel Blockchain Features with Apricot, its First Major Upgrade",Avalanche,3,2020,1300,1,Crytography
What is blockchain and what are some applications of blockchain?,bcd,4,2017,469,2,Crytography
How Blockchains Will Become Targets for Hostile Takeovers,bcd,4,2018,369,6,Crytography
A Technical Overview of the Lamden Tau Blockchain,Lamden,8,2017,748,7,Crytography
Blockchain-Powered Ads To Disrupt Digital Marketing,The Startup,14,2018,633,8,Crytography
The Content is the Platform: why we bought Pixowl and how the blockchain matters,bcd,9,2018,2200,2,Crytography
1st Anniversary and Blockchain Cuties Universe,Blockchain Cuties Universe,5,2018,3000,4,Crytography
Your Tokens Are Super Safe With Enjin Wallet,Blockchain Cuties Universe,2,2018,3300,5,Crytography
"If you understand Hash Functions, you’ll understand Blockchains",Decentralize.Today,3,2016,281,3,Crytography
How to create certificates on the Ethereum blockchain — Part 1,Coinmonks,6,2018,519,5,Crytography
How the Blockchain Will Conquer the World and Why History Shows Bitcoin Might not be The Revolution we Assume,HackerNoon.com,5,2018,575,7,Crytography
La Revolución del Blockchain y el Gobierno de las Organizaciones Descentralizadas,Astec,6,2017,257,1,Crytography
Blockchain y el Nuevo Modelo de Financiamiento de la Internet Descentralizada.,Astec,5,2017,218,0,Crytography
Will blockchain “destroy” human trust?,bcd,5,2017,456,3,Crytography
8 Free Courses to Learn Blockchain Development in 2021,Javarevisited,10,2020,474,2,Crytography
Collaboration 2.0: The Future of Work is on the Blockchain,ConsenSys Media,6,2018,661,2,Crytography
Blockchain Scaling Solutions: Cosmos and Plasma,Tendermint Blog,19,2018,493,3,Crytography
Snovio Wants To Change The Lead Generation Process For All Businesses Using Blockchain Technology,bcd,3,2018,158,0,Crytography
Making Blockchain Technology Accessible to Business — The Launch of Horizen Labs,bcd,3,2019,600,1,Crytography
SwissBorg’s First Referendum on the Blockchain: Results & Promise,SwissBorg DAO,3,2018,1000,1,Crytography
The Ethereum Blockchain and ERC20 Tokens: Technical Challenges and Solutions for 2019 and Beyond,Ethex,6,2018,406,0,Crytography
Heterodox Economics And The Rise Of The Blockchains,bcd,33,2019,591,4,Crytography
The “Fast” & “Mainstream” Adoption of AI & Blockchain,HackerNoon.com,5,2018,552,1,Crytography
Simultaneous Backend & Frontend Development: Combining the Best of Blockchain & Gaming.,bcd,4,2021,3300,0,Crytography
"Blockchain is a mean, not an end.",bcd,2,2018,1600,2,Crytography
"VeChain Becomes The First 5-Star-Rated Blockchain Service Provider In The World, Certified By TÜV Saarland, A…",VeChain Foundation,4,2020,781,2,Crytography
ทำไม Hashing Algorithm ใน Blockchain ถึงสำคัญ,Dcen.io,4,2018,415,1,Crytography
"A Complete List of Blockchain, Crypto and ICO Resources",bcd,9,2017,384,4,Crytography
Fat Protocols Vs. DApps: Creating Long Term Value on the Public Blockchain,HackerNoon.com,9,2018,706,5,Crytography
Anti-fragile Blockchain,bcd,5,2016,384,1,Crytography
Three Predictions on Blockchain & Bitcoin,bcd,6,2018,868,4,Crytography
Viacoin Investment Review,bcd,8,2017,385,3,Crytography
Deloitte: 95% of Companies Surveyed Are Investing in Blockchain Tech,ConsenSys Media,2,2019,820,2,Crytography
"Blockchain Transmission Protocol (BTP) Architecture, Economics, and Key Differentiators",Hello ICON World,5,2021,1000,4,Crytography
"Theta Labs launches the Blockchain Advisory Council, led by Steve Dakh",Theta Network,2,2018,1100,3,Crytography
Virtual Real Estate — A virtual property that can be owned on the blockchain!,CosmosCR,4,2018,729,2,Crytography
BLOCKCHAIN + GAMING + EARN FREE CRYPTO (AIR MINING) + PASSIVE INCOME GENERATION + DECENTRALIZED ADVERTISING ECONOMY,Worldopo,4,2018,446,2,Crytography
QTUM: Building a Better Blockchain Governance,HackerNoon.com,8,2017,247,76,Crytography
Connect To All Blockchain Environments Through A Single Chainlink Integration,bcd,9,2020,811,4,Crytography
Blockchain is disrupting the $700 billion remittance industry,bcd,4,2019,981,3,Crytography
Binance will support TRON blockchain upgrade and token migration,TRON,1,2018,765,0,Crytography
Blockchain y Justicia Descentralizada — Conferencia en Colombia,Astec,1,2019,108,1,Crytography
A closer look at Pundi X Blockchain-based point of sale (POS) system,Pundi X,4,2018,887,3,Crytography
A Tactical Guide to Investing in Blockchain Assets,The Control,5,2017,98,1,Crytography
Recreating Google’s PageRank on The Bitcoin Blockchain,bcd,11,2016,86,9,Crytography
Boston Blockchain Guide,bcd,6,2017,530,5,Crytography
$10K — The Bitcoin Price Streak Continues,@blockchain,9,2020,162,2,Crytography
Stobox partnered with a blockchain advisory firm Marengo Knoll,bcd,1,2021,2100,67,Crytography
Mercor Finance Adds Blockchain Veteran Deeban Ratneswaran As a Strategic Advisor,bcd,2,2021,1600,0,Crytography
You Can Make Money Right Now Playing Games on the Blockchain,ConsenSys Media,5,2019,743,6,Crytography
The top 10 blockchain trends for 2021,Coinmonks,13,2021,231,2,Crytography
7 Big Obstacles To Mass Adoption Of Blockchain Technology,The Crypto Times,7,2018,559,5,Crytography
Binance Leverages the Elrond Blockchain for Fast & Inexpensive BUSD Stablecoin Transfers,Elrond Network,4,2020,1800,3,Crytography
Origin (OGN) and Enjin Coin (ENJ) now available on the Blockchain.com Exchange,@blockchain,4,2020,322,3,Crytography
Populous World successfully closes world’s first invoice sale on the blockchain.,Populous World,2,2018,991,1,Crytography
When the Game Stops,@blockchain,13,2021,258,3,Crytography
Introducing Guild of Guardians — the world’s first AAA blockchain RPG,bcd,4,2021,628,8,Crytography
Blockchain Powered Platforms: Tokens,Stories of Platform Design,10,2017,379,1,Crytography
How to quickly buy XLM,@blockchain,1,2020,134,5,Crytography
AppCoins: The First Blockchain-Based Protocol For The App Stores,bcd,3,2017,1100,4,Crytography
[ANN] X Blockchain Meetup 2017,Pundi X,1,2017,16,2,Crytography
Blockchain as a Data Structure,Horizen,2,2020,453,0,Crytography
Quant Network’s Overledger: Part One Blockchain Fundamentals,bcd,13,2019,1300,1,Crytography
Blockchain Programming for New Developers — II,bcd,6,2018,470,1,Crytography
Capture the Coin — Blockchain Category Solutions,The Coinbase Blog,11,2019,148,0,Crytography
Identity on Blockchain (Part I),FACILELOGIN,24,2017,365,3,Crytography
How Blockchain Could Kill Both Cable and Netflix,Theta Network,5,2018,834,2,Crytography
Alexander Borodich: Blockchain companies are replacing SWIFT,UniversaBlockchain,7,2018,1000,3,Crytography
NFT — An Introduction To The Blockchain For Photographers And Creatives,High-Definition Pro,10,2021,464,1,Crytography
Step by step to convert USDT from ERC-20 Blockchain to Solana Blockchain using Sollet wallet,bcd,3,2021,149,7,Crytography
Trust | Want | Need,@blockchain,11,2021,330,6,Crytography
"Token Economy 101, or why Blockchain-powered decentralized networks are important",bcd,13,2017,369,3,Crytography
The One Thing Missing from the ERC 721 Standard for Digital Collectibles on the Blockchain,HackerNoon.com,8,2018,428,7,Crytography
How Blockchain-Based Bounties Can Reinvent Our Social Impact Systems and Incentivize Action,Bounties Network,7,2018,615,4,Crytography
Understanding The Gold Rush of Scalable and Validated Data powered by Blockchain and Decentralized AI,HackerNoon.com,14,2018,1200,0,Crytography
Sell in May and Go Away?,@blockchain,20,2020,388,2,Crytography
Quantum Computing: Is it the end of blockchain?,HackerNoon.com,6,2018,510,3,Crytography
5 Governments That Actually Support Blockchain Innovation,SingularDTV,4,2017,565,5,Crytography
"Meet Mappy, Happy, and Dappy: Personas for Blockchain Product Management",HackerNoon.com,10,2019,1600,5,Crytography
"The Network of Networks, Scalable Interoperability to Unleash the True Potential of Blockchain",bcd,16,2020,2400,1,Crytography
What Is a Blockchain?,MIT Technology Review,6,2018,380,0,Crytography
All Blockchain Magic comes with a Price,bcd,5,2020,1100,3,Crytography
An Artist’s Dictionary for the Blockchain,XLNT,12,2018,473,0,Crytography
N1CE: A blockchain experts community,bcd,3,2021,559,6,Crytography
Wasm for Blockchain 2019,NEAR Protocol,21,2019,628,0,Crytography
AllianceBridge Introduces Seamless and Fully Decentralized Interoperability Between Blockchains,bcd,7,2021,2200,1,Crytography
Hyperledger — Chapter 3| When to use the Blockchain Technology,The Startup,7,2018,415,2,Crytography
Using Blockchain Technology to Boost Cyber Security,HackerNoon.com,8,2017,425,2,Crytography
Blockchain Enabled Carbon Credit Markets,bcd,17,2019,432,0,Crytography
Smart Dubai — World’s First Blockchain-powered Government Initiative,Technicity,4,2018,544,6,Crytography
Trading the First Tomatoes on the Blockchain,Bancor,3,2018,1200,5,Crytography
The Railway Transport Moves Towards Using Blockchain Technology,UniversaBlockchain,2,2018,1100,0,Crytography
Some thoughts on blockchain governance,bcd,1,2017,115,2,Crytography
A Summary of My Work On Blockchain-Based Economic Coordination,bcd,3,2017,255,0,Crytography
Blockchain: quel impact pour le secteur de la gestion d’actifs?,Ledgity,3,2018,403,0,Crytography
Blockchain in Education,UniversaBlockchain,6,2018,431,4,Crytography
What is a blockchain operating system and what are the benefits? Introducing Overledger from Quant Network.,bcd,16,2019,1400,0,Crytography
Our decentralised future? A blockchain primer,bcd,17,2019,346,0,Crytography
La Regulación del Blockchain y sus Desafíos,Astec,1,2019,96,0,Crytography
Blockchain @ Berkeley + IOTA,IOTA,8,2017,612,3,Crytography
Introducing Blockchain for India — $50 Million fund backed by WazirX & Binance,WazirX,2,2020,276,3,Crytography
#NeverSell — Borrow USD with your Crypto in the Blockchain.com Wallet,@blockchain,2,2020,288,2,Crytography
2017 Was the Year of Blockchain Awareness. 2018 Is the Year of Adoption,bcd,5,2018,473,0,Crytography
What makes blockchains secure? (2/5),Gauntlet,17,2018,336,2,Crytography
The Power of Blockchain & Its Compelling Use Cases,Technicity,7,2018,621,4,Crytography
Blockchains and constitutional catallaxy: an EOS case study,bcd,4,2018,408,1,Crytography
The End-Games of Blockchain,bcd,5,2018,498,3,Crytography
"Making Blockchain Mainstream: Tokoin Campus Meetups & TokoKnights, Educating 67% Who…",bcd,4,2020,248,0,Crytography
How Blockchain Technology can transform the healthcare sector?,The Startup,9,2018,485,5,Crytography
"US$150,000 in prizes for Alpha Inaugural event in “REVV Racing” blockchain game by Animoca Brands",bcd,5,2021,645,1,Crytography
Exporting and Analyzing Ethereum Blockchain,bcd,7,2018,299,11,Crytography
"VeChain, Together With DNV, Enables Renji Hospital To Launch The World’s First Blockchain-based IVF Service App —…",VeChain Foundation,5,2021,565,2,Crytography
Why We’re Introducing the Theta Token & Blockchain to Revolutionize Video Delivery,Theta Network,6,2017,807,1,Crytography
Blockchain Platforms: Should I Build on Bitcoin or Ethereum or Cardano or…,The Challenge,4,2019,331,1,Crytography
"Blockchain Scaling Solutions Explained: The Lightning Network, Raiden Network, and Plasma",ICO Alert,5,2018,323,3,Crytography
The Blockchain in Education,Learning Machine is now Hyland Credentials,8,2018,232,1,Crytography
Berkeley Blockchain Xcelerator Selects Several Polkadot-related Projects for the 2021 Cohort,Polkadot Network,3,2021,251,1,Crytography
On usability of blockchain applications,NEAR Protocol,9,2019,729,1,Crytography
POLKER — First Blockchain Online Poker Game Built On Unreal Engine 4,bcd,4,2021,2000,14,Crytography
Decentralization and Blockchain — Why You Should Choose A New Ride-Hail Option,DRIFE,3,2021,377,0,Crytography
A new and improved Blockchain.com Wallet,@blockchain,3,2021,317,4,Crytography
The Dangers of Blockchain-Enabled “Immunity Passports” for COVID-19,Berkman Klein Center Collection,16,2020,416,3,Crytography
"To Understand Blockchains, You Should Understand Cryptographic Hashes First",Vandal Press,9,2017,287,0,Crytography
OpenZeppelin: a New Standard for Secure Blockchain Applications,Zeppelin Blog,3,2016,283,4,Crytography
Forget erasure: why blockchain is really incompatible with the GDPR,Berkman Klein Center Collection,6,2019,270,8,Crytography
Everything you need to know about Blockchain: Part One,The Startup,7,2018,381,0,Crytography
VeChainThor Blockchain Empowers the Lifecycle Management of Premium Beef Produced in Australia With VeChain ToolChain…,VeChain Foundation,5,2019,850,2,Crytography
A Framework for Blockchain Investing,Applied Crypto Ventures,13,2017,238,1,Crytography
A Deeper Look Into Microsoft’s Stack to Bring Tokenization to Enterprise Blockchain Applications,Coinmonks,6,2019,190,0,Crytography
What is the blockchain and why it goes way beyond Bitcoin?,bcd,6,2018,787,0,Crytography
Matrix and the Blockchain Based Smart Hospital Program,bcd,4,2020,1000,1,Crytography
2020 US Crypto Taxes,@blockchain,3,2021,218,7,Crytography
2021 Hashed Blockchain & Crypto Market Predictions,Hashed Team Blog,12,2021,294,0,Crytography
Reef Finance releases Reef Chain Testnet a blockchain for DeFi,Reef Finance,3,2021,624,1,Crytography
The Most Significant Future Risk Around Blockchain: ECDSA … and Meet IOTA,ASecuritySite: When Bob Met Alice,8,2018,1100,4,Crytography
Trust-less governance is the killer app of blockchain technology,Mission.org,9,2018,444,1,Crytography
Blockchain — solution for the renewable energy market.,HackerNoon.com,4,2017,233,7,Crytography
Aave: The Future of Banking,Coinmonks,9,2021,495,0,Crytography
Blockmason Link — смарт-контракты для каждого.,bcd,4,2019,914,0,Crytography
CIRUS Purpose-Built Dual-IDO on ETH L2 — August 17th,The Cirus Foundation,2,2021,86,0,Crytography
Creating a simple Ethereum Smart Contract in Golang,Towards Dev,4,2021,127,0,Crytography
Abridged 2020,Abridged,6,2020,265,0,Crytography
Announcing the Umee Testnet on #WaveDay!,Umee,2,2021,187,0,Crytography
THE LANDLORDS — Vol. 004,League of Kingdoms Official Blog,3,2021,75,0,Crytography
My 10 Best Friends Are Silicon Valley ₿illionaires. And They Love The Bitcoin Network. [edited],bcd,5,2017,13,2,Crytography
How to Create Your Own Real-Time Data Stream in Less Than 10min with no Code Needed,Streamr,7,2019,224,0,Crytography
Why is Cardano Increasing so Much? Is it Overvalued?,bcd,5,2021,33,3,Crytography
Lanit Puts Faith in Blockchain,UniversaBlockchain,3,2018,1000,0,Crytography
Crypto Currency Dreams. What Hinders the Blockchain Technology Development,UniversaBlockchain,6,2017,485,3,Crytography
"Don’t Listen to the Mainstream Media on Bitcoin, Blockchain, or… Anything Really",Blockchain Media,5,2016,46,3,Crytography
Trade $CLOUT on the Blockchain.com Exchange,@blockchain,2,2021,522,17,Crytography
Presenting Reef Chain - The First DeFi Blockchain on Substrate for DeFi Applications of the Future,Reef Finance,4,2021,677,2,Crytography
Naval Ravikant’s inspiring Blockchain tweetstorm,bcd,3,2017,370,2,Crytography
Future Governance? Integrating Traditional AI Technology Into the Blockchain Nervous System,The Internet Computer Review,6,2017,240,2,Crytography
The Governance of Blockchains,The Control,6,2017,127,4,Crytography
"Formal Verification, Virtual Hardware, and Engineering for Blockchains",Balance,5,2019,1000,4,Crytography
"Blockchain projesi yapmak istiyorsunuz, ilk adımınız ne olur?",Bankalararası Kart Merkezi,5,2018,122,2,Crytography
Platin™ at the Japan Blockchain Conference,bcd,2,2018,1400,1,Crytography
Programming Languages Used in Blockchain,bcd,2,2019,822,1,Crytography
The Cryptocurrency Endgame,@blockchain,16,2020,286,2,Crytography
ICON 2.0: Introducing a new blockchain software architecture based on Go,Hello ICON World,7,2020,1100,1,Crytography
Cardano: A Blockchain with Privacy and Regulation.,bcd,6,2017,290,6,Crytography
Game Theory and Blockchain,bcd,5,2018,539,1,Crytography
API calls on Blockchain; best practices for data collection,Towards Data Science,9,2020,334,0,Crytography
Blockchain & Sustainability,crypto3conomics,14,2018,256,8,Crytography
Jim Messina to Join Blockchain.com’s Board of Directors,@blockchain,2,2021,308,6,Crytography
The Blockchain UX,The Startup,5,2018,464,0,Crytography
ERC-20 Token Basics For Crypto Beginners,CryptoWise,6,2021,69,0,Crytography
"How Vera Will Evolve NFTs for Use With Real-World, Physical Assets",Vera,4,2021,87,0,Crytography
Is It Too Late to Earn Money Mining Helium?,Level Up Coding,9,2021,72,0,Crytography
Star Atlas Partners With Unicly To Offer Fractionalized NFTs,Star Atlas,3,2021,71,0,Crytography
Polkacity Game Summary&Progress,bcd,5,2021,460,0,Crytography
Why Proof-of-Work Is Not Viable in the Long-Term,Logos Network,22,2019,79,2,Crytography
A Comprehensive Guide to CryptoArte Paintings,Coinmonks,6,2021,77,1,Crytography
DAO Accounting,VeriLedger,9,2019,108,0,Crytography
REST/Ws vs FIX for crypto trading,bcd,4,2019,61,2,Crytography
Hiding Vault x Compound,KeeperDAO,7,2021,129,0,Crytography
Crypto/Bitcoin Trading Bot in Python — July 2018 Update,bcd,5,2018,329,2,Crytography
Blockchain y el Futuro de los Notarios,Astec,4,2020,67,3,Crytography
"Welcoming Lane Kasselman, Blockchain.com’s First Chief Business Officer",@blockchain,2,2021,250,5,Crytography
Synchrony and Timing Assumptions in Consensus Algorithms Used in Proof of Stake Blockchains,Mechanism Labs,7,2018,502,4,Crytography
Blockchain: The New Technology of Search Engines?,BitClave,4,2017,803,0,Crytography
STUDENT COIN — the first universities’ blockchain,bcd,4,2020,254,0,Crytography
Meet Troika — A Hashing Method Fit For IoT Blockchains?,ASecuritySite: When Bob Met Alice,7,2018,1100,1,Crytography
Moving to an era of highly scalable Blockchain networks,Technicity,5,2018,692,5,Crytography
Making sense of non-public Blockchains,The Startup,6,2018,455,6,Crytography
Blokzincir (Blockchain) hayatımızı nasıl değiştirecek?,Bankalararası Kart Merkezi,2,2019,109,0,Crytography
TronPad (#TRONPAD) — The Official Launchpad of the TRON Blockchain,bcd,4,2021,252,4,Crytography
​​Blockchain.com’s Crypto Games: Who Will Win Gold?,@blockchain,2,2021,267,4,Crytography
Blockchain Transmission Protocol (BTP) Working Group Update: ICON Joins Forces with the Polkadot Ecosystem,Hello ICON World,4,2021,641,2,Crytography
Will Blockchain Radically Change The Real Estate Industry?,TMD STUDIO’s Insights,7,2017,541,2,Crytography
"The $1,000,000 Blockchain Domain Grant Program",Unstoppable Domains,2,2019,510,1,Crytography
TaaS Fund becomes the first post-ICO blockchain project to provide full transparency and 61% ROA for its first fully-operational quarter.,TaaS,2,2017,151,10,Crytography
AERO: Enabling the Drone Superhighway Using the Blockchain,HackerNoon.com,3,2017,210,0,Crytography
Blockchain and the Promise of Smart Contracts for Creatives,bcd,5,2018,288,0,Crytography
"Non-fungible Tokens, Blockchain, and the Future of Video Games",The Startup,7,2019,454,4,Crytography
Corrected Summary of the TON White Paper “Notable Blockchain Projects” Table,bcd,2,2018,946,4,Crytography
Cutest blockchain game with adventures accepts KICK,bcd,3,2018,2300,1,Crytography
Our Second AMA: David Ben Kay on TV-TWO & The Blockchain’s Future,TV-TWO,3,2018,237,10,Crytography
Why is Blockchain a better option for HRM than any other platform?,bcd,5,2018,170,0,Crytography
Blockchain & Clean Energy Sources Traceability,bcd,5,2021,277,0,Crytography
Empowering Travelers Everywhere with Blockchain,Gozo,1,2018,574,2,Crytography
Blockchain vs. DAG Technology,bcd,3,2018,296,3,Crytography
Blockchain terminology; the 35 most commonly used blockchain terms explained.,Good Audience,13,2019,288,4,Crytography
What Are Blockchains Actually Good For?,The Startup,11,2018,414,2,Crytography
Understanding Blockchain Frameworks: Ethereum and Hyperledger Fabric,bcd,7,2019,200,0,Crytography
Hoskinson Talks Third Gen Blockchain,G20 Ventures,2,2018,469,2,Crytography
There is No Escape from Blockchains and Artificial Intelligence… Lawyers Better Be Prepared!,bcd,17,2017,194,1,Crytography
Building Blockchain for Government: Why Governments Need Blockchain,ConsenSys Media,9,2019,372,1,Crytography
How to Become a Blockchain Developer,Better Programming,4,2020,327,2,Crytography
AI & Blockchain: An Introduction,HackerNoon.com,11,2018,632,4,Crytography
Why does journalism need blockchain technology?,Civil,5,2017,254,6,Crytography
Get Smart About Blockchain & Smart Contracts,HackerNoon.com,6,2018,491,2,Crytography
"Solving a blockchain conundrum, DxChain wants to reimagine storage and computation first",DxChainGlobal,3,2018,354,0,Crytography
Comparing Ethereum and the Libra blockchain,SoftwareMill Tech Blog,11,2019,238,4,Crytography
The Blockchain of Blockchains: ICON as an Aggregator Chain,Hello ICON World,4,2021,920,1,Crytography
Buy BCH in minutes,@blockchain,1,2020,139,2,Crytography
Crypto Diaries: Reviewing Major blockchain developments & Upgrades,Technicity,5,2019,316,2,Crytography
8 Ways That The Blockchain Will Change Mobile Payments,bcd,4,2016,53,4,Crytography
Blockchain Analysis Strategy Investing (BASI),Good Audience,7,2018,454,3,Crytography
Notarization in Blockchain (Part 3),bcd,6,2018,77,0,Crytography
Python Blockchain Token Deployment Tutorial — Create an ERC20,Better Programming,6,2021,301,2,Crytography
Rising Interest Rates and Real Estate: A Blockchain Perspective,ConsenSys Media,5,2018,321,4,Crytography
Zach LeBeau: “Digital Currencies Are Just One Tiny Layer at the Surface of Blockchain Technology”,SingularDTV,5,2017,354,5,Crytography
Blockchain to Become the DNA of AI,The Startup,8,2019,398,4,Crytography
Virtual Reality & Blockchains: Towards a more empathetic Society,bcd,8,2016,101,5,Crytography
The emergence of Blockchain Consortia,Technicity,5,2018,483,11,Crytography
🇩🇪Suche diese Woche nach DeFiChain Ostereiern und gewinne bis zu 200 DFI GRATIS!,bcd,3,2021,2000,4,Crytography
Blockchain middleware: The HTTP of the Web 3.0 age,bcd,5,2021,81,0,Crytography
7 Skills Needed to Become a Blockchain Developer,Brandlitic,4,2020,180,0,Crytography
"The Fed Promises To Double Inflation #BuyBitcoin :: Pantera Blockchain Letter, September 2020",bcd,14,2020,492,0,Crytography
TE-FOOD cooperates with Deloitte to implement blockchain based traceability projects,TE-FOOD,2,2018,1300,0,Crytography
SingularDTV Doubles Production of Blockchain Applications in Development Thanks to ‘Centrality’,SingularDTV,5,2017,456,2,Crytography
How to quickly buy Ethereum,@blockchain,1,2020,200,3,Crytography
What is a blockchain- what is a cryptocurrency — explanation for beginners and dummies,bcd,8,2017,459,2,Crytography
Why Interoperability will make 2020 the breakthrough year for blockchain,bcd,7,2020,1500,0,Crytography
Civil Wants to Use Blockchain to Fund Journalism. Can it Work?,Financial Times,4,2018,210,2,Crytography
JPMorgan is starting its journey on the Blockchain,FSBT.tech (Open API Platform),2,2018,1700,0,Crytography
KOM x SWFT Blockchain,bcd,2,2021,2000,38,Crytography
The Elements of a Blockchain,Horizen,2,2020,304,0,Crytography
Support Team Tips: Why your wallet recovery phrase is so important,@blockchain,2,2016,94,3,Crytography
Top 5 Blockchain Use Cases in Pharma and Healthcare — that you should know about!,Blockchain Bistro,8,2018,188,2,Crytography
Greenheart ($CBD) — A blockchain enabled lending platform for CBD production,bcd,5,2021,1800,1,Crytography
Where is my Bitcoin?,@blockchain,3,2021,200,6,Crytography
Far More Than Walmart China — How VeChain Leads Blockchain Adoption in the Food Industry Around the Globe,VeChain Foundation,6,2021,455,0,Crytography
Machine Learning is Fun!,bcd,15,2014,86000,283,Machine Learning
"Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning & Big Data",Becoming Human: Artificial Intelligence Magazine,8,2017,68000,171,Machine Learning
"Every single Machine Learning course on the internet, ranked by your reviews",We’ve moved to freeCodeCamp.org/news,20,2017,22000,82,Machine Learning
Essential Cheat Sheets for Machine Learning and Deep Learning Engineers,Startups & Venture Capital,4,2017,25000,111,Machine Learning
30 Amazing Machine Learning Projects for the Past Year (v.2018),Mybridge for Professionals,6,2018,24000,36,Machine Learning
Machine Learning is Fun! Part 4: Modern Face Recognition with Deep Learning,bcd,13,2016,29000,194,Machine Learning
Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,bcd,16,2016,25000,191,Machine Learning
‘I want to learn Artificial Intelligence and Machine Learning. Where can I start?’,Towards Data Science,8,2018,17600,84,Machine Learning
Machine Learning is Fun! Part 2,bcd,15,2016,19300,72,Machine Learning
A Complete Machine Learning Walk-Through in Python: Part One,Towards Data Science,15,2018,15800,39,Machine Learning
6 Techniques Which Help Me Study Machine Learning Five Days Per Week,Towards Data Science,8,2019,12600,41,Machine Learning
Why businesses fail at machine learning,HackerNoon.com,6,2018,17400,93,Machine Learning
"Over 150 of the Best Machine Learning, NLP, and Python Tutorials I’ve Found",Machine Learning in Practice,7,2017,10600,36,Machine Learning
Introducing TensorFlow.js: Machine Learning in Javascript,TensorFlow,4,2018,15200,20,Machine Learning
Machine Learning is Fun Part 6: How to do Speech Recognition with Deep Learning,bcd,11,2016,13100,72,Machine Learning
"No, Machine Learning is not just glorified Statistics",Towards Data Science,10,2018,13100,116,Machine Learning
Human-Centered Machine Learning,Google Design,13,2017,8300,39,Machine Learning
Springer has released 65 Machine Learning and Data books for free,Towards Data Science,4,2020,8200,37,Machine Learning
My Curated List of AI and Machine Learning Resources from Around the Web,Machine Learning in Practice,8,2017,8800,55,Machine Learning
How to break a CAPTCHA system in 15 minutes with Machine Learning,bcd,9,2017,13700,47,Machine Learning
12 Things I Learned During My First Year as a Machine Learning Engineer,Towards Data Science,11,2019,8200,18,Machine Learning
Machine Learning Basics with the K-Nearest Neighbors Algorithm,Towards Data Science,9,2018,8700,31,Machine Learning
Thinking of Self-Studying Machine Learning? Remind yourself of these 6 things,Towards Data Science,5,2019,10500,23,Machine Learning
Feature Selection Techniques in Machine Learning with Python,Towards Data Science,5,2018,6800,32,Machine Learning
Regularization in Machine Learning,Towards Data Science,7,2017,8500,41,Machine Learning
Cheat Sheet of Machine Learning and Python (and Math) Cheat Sheets,Machine Learning in Practice,4,2017,7400,37,Machine Learning
A Feature Selection Tool for Machine Learning in Python,Towards Data Science,10,2018,7900,46,Machine Learning
Machine Learning: how to go from Zero to Hero,We’ve moved to freeCodeCamp.org/news,8,2018,10700,16,Machine Learning
Machine Learning in a Year,Learning New Stuff,8,2016,5300,54,Machine Learning
The Best Machine Learning Resources,Machine Learning for Humans,5,2017,9600,23,Machine Learning
Machine Learning is Fun Part 5: Language Translation with Deep Learning and the Magic of Sequences,bcd,16,2016,10400,61,Machine Learning
Selecting the best Machine Learning algorithm for your regression problem,Towards Data Science,6,2018,7100,20,Machine Learning
Interpretable Machine Learning with XGBoost,Towards Data Science,10,2018,8400,42,Machine Learning
"Machine Learning for Humans, Part 2.1: Supervised Learning",Machine Learning for Humans,13,2017,12100,23,Machine Learning
Using Machine Learning to Predict Value of Homes On Airbnb,The Airbnb Tech Blog,9,2017,4700,19,Machine Learning
"The Difference Between Artificial Intelligence, Machine Learning, and Deep Learning",IoT For All,6,2017,9400,40,Machine Learning
6 areas of AI and machine learning to watch closely,bcd,9,2017,2900,47,Machine Learning
Big Picture Machine Learning: Classifying Text with Neural Networks and TensorFlow,We’ve moved to freeCodeCamp.org/news,12,2017,3300,36,Machine Learning
Machine Learning (ML) vs. Artificial Intelligence (AI) — Crucial Differences,Towards AI,13,2018,7400,42,Machine Learning
Machine Learning Engineers Will Not Exist In 10 Years.,Towards Data Science,6,2020,4500,78,Machine Learning
Machine learning — Is the emperor wearing clothes?,HackerNoon.com,8,2018,8300,53,Machine Learning
