Statement,Content,Publication,Read_Time,Date,Year,Claps,comments,tag
How blockchain can drastically simplify business processes.,,berndruecker,6 min read,"Jan 16,",2018.0,624,9 responses,Crytography
"TRON and BitGuild reached a strategic cooperation, the blockchain game territory continues to expand","Recently, TRON announced a strategic cooperation with BitGuild, a blockchain game platform, the two sides will strengthen cooperation on the online game for…",TRON,2 min read,"Mar 7,",2018.0,1.7K,1 response,Crytography
"We fixed the dollar, by fixing it to crypto","Today, we’ve partnered with Paxos to break down a financial barrier for people…",@blockchain,2 min read,"May 1,",2019.0,457,7 responses,Crytography
How To: Deploy Smart Contracts Onto The Ethereum Blockchain,,mercuryprotocol,5 min read,"Dec 21,",2017.0,720,12 responses,Crytography
MUST READ: Blockchain Data shows Most Projects Hoarding 70–90% of Their Own AltCoin’s Supply.,,,3 min read,"Aug 17,",2020.0,720,6 responses,Crytography
Metaverse Identity on the Blockchain,"As we begin to live and work in digital spaces, we must design an identity system that is safe, secure, and decentralized like the web. A combination of the blockchain and digital certificates seems like the best design.",,7 min read,"Feb 16,",2017.0,402,8 responses,Crytography
Introducing the new Blockchain.com monthly newsletter — April Edition: “After the Dust Settles”,,@blockchain,15 min read,"Apr 6,",2020.0,419,2 responses,Crytography
A note on the Bitcoin Cash fork on 15 November 2020,,@blockchain,2 min read,"Nov 13,",2020.0,491,15 responses,Crytography
,,,4 min read,"Jul 30,",2015.0,383,3 responses,Crytography
Is There a Future for Blockchain?,,HackerNoon.com,4 min read,"May 13,",2018.0,851,3 responses,Crytography
From Ethereum to Enigma: Understanding Privacy Protocols in the Blockchain,,HackerNoon.com,5 min read,"Jul 12,",2018.0,485,5 responses,Crytography
Why the blockchain revolution has no leader — on purpose,,,14 min read,"Dec 10,",2018.0,1.1K,25 responses,Crytography
Blockchain for Personal Data Privacy in Healthcare,,PikcioChain,5 min read,"Oct 16,",2018.0,2.6K,2 responses,Crytography
Liechtenstein Blockchain Act: How can nearly any right and therefore any asset be tokenized based,,,12 min read,"Oct 7,",2019.0,1.3K,5 responses,Crytography
Tokoin and TomoChain Team-Up to Build Blockchain Infrastructure for MSMEs,,,2 min read,"Jun 20,",2019.0,2.1K,49 responses,Crytography
Crypto Triangular Arbitrage with on Binance Exchange with Python — Videos and Code — Real World Example,,,4 min read,"Jun 20,",2018.0,701,4 responses,Crytography
Notice of blockchain movements,"Over the next seven days, Coinbase will be running scheduled maintenance across our platform that may cause movements on all Coinbase-supported blockchains. These are controlled, closely monitored movements that are being performed in order to provide enhanced security and…",The Coinbase Blog,1 min read,"Nov 29,",2018.0,500,,Crytography
"Meet the Proffer Hackathon Winners, applying blockchain for societal good",,Proffer Network,11 min read,"Nov 20,",2017.0,708,1 response,Crytography
Understanding the SEC’s Guidance on Digital Tokens: The Hinman Token Standard,,,6 min read,"Jan 10,",2019.0,1K,2 responses,Crytography
Polkadot: How it could integrate with 4 blockchain networks — and what’s in it for us as developers,,Stephan Tual’s Blog,10 min read,"Jul 23,",2017.0,509,3 responses,Crytography
"Swiss blockchain startups launch a Crypto bank, ETP & AI managed stable coin",,Technicity,6 min read,"Nov 22,",2018.0,761,11 responses,Crytography
Why Blockchain Games?,,Hashed Team Blog,8 min read,"Apr 2,",2019.0,1.1K,5 responses,Crytography
Fungible Tokens vs Non Fungible Tokens: Why NFT is instrumental in the Future of Blockchain Economy?,,CosmosCR,4 min read,"Dec 12,",2018.0,1.2K,2 responses,Crytography
How to set up a private Ethereum blockchain and deploy a Solidity Smart Contract on the blockchain — in less than 20 mins!,,Blockchain Bistro,8 min read,"Aug 2,",2018.0,636,7 responses,Crytography
Blockchain Explained Simply,,The Startup,6 min read,"Jun 11,",2019.0,1K,11 responses,Crytography
Interplanetary Linked Computing: Separating Merkle Computing from Blockchain Computational Courts,,ConsenSys Media,13 min read,"Jan 3,",2017.0,367,7 responses,Crytography
Nucleus Vision’s recently announced protocol to power Govt of Assam Blockchain applications,,,2 min read,"May 5,",2018.0,1.6K,4 responses,Crytography
The Decentralized Cloud Vision of the DFINITY Blockchain,,The Internet Computer Review,9 min read,"Jul 25,",2017.0,591,5 responses,Crytography
Why I registered my vaccines on the blockchain,,London Blockchain Labs,9 min read,"Feb 7,",2019.0,505,6 responses,Crytography
The Intersection of IoT and Blockchain,"A key element of my investment thesis has been that entrepreneurs innovate when institutions can’t — or won’t. That’s especially true in networking, where I’ve been proud to back winners who innovated their way past skeptics to create incredible value in the…",,3 min read,"May 15,",2018.0,1K,3 responses,Crytography
Meet Gimmer at the Blockchain Summit London!,,,2 min read,"Nov 5,",2017.0,1.3K,,Crytography
Tendermint Explained - Bringing BFT-based PoS to the Public Blockchain Domain,,Cosmos Blog,10 min read,"May 11,",2018.0,600,3 responses,Crytography
Programming Blockchain in Javascript,,DigitalCrafts,2 min read,"Jan 17,",2018.0,464,2 responses,Crytography
The 4 UX Problems When Designing Blockchain-Based Smart Contracts,,Prototypr,6 min read,"Aug 17,",2018.0,641,8 responses,Crytography
Public blockchain fee cyclicality and negative feedback loops,,,20 min read,"Oct 5,",2020.0,732,6 responses,Crytography
"Macro Impact On Bitcoin :: Pantera Blockchain Letter, April 2020",,,18 min read,"May 4,",2020.0,612,3 responses,Crytography
From Icarus to basic sanity: blockchain technology and the power of not knowing,,The CoinFund Blog,5 min read,"Jul 9,",2018.0,848,13 responses,Crytography
Could blockchain soon upend America’s power markets?,,The Fourth Wave,4 min read,"Apr 4,",2018.0,490,1 response,Crytography
How is Blockchain Disrupting the Supply Chain Industry?,,HackerNoon.com,14 min read,"Aug 10,",2018.0,885,5 responses,Crytography
Blockchain and Tokenization: Beyond the Hype,,,7 min read,"Sep 25,",2018.0,988,6 responses,Crytography
Blockchain and Big Data: the match made in heavens,Big Data has been around for a while and blockchain technology currently rides the hype wave. What results can the concoction of these two innovations produce?,Towards Data Science,3 min read,"Feb 21,",2018.0,174,2 responses,Crytography
An Introduction to DAGs and How They Differ From Blockchains,,Fantom Foundation,4 min read,"Jun 20,",2018.0,903,1 response,Crytography
Blockchain for Agriculture,,The Startup,20 min read,"Nov 4,",2019.0,1.8K,5 responses,Crytography
Join Blockchain Cuties! We Have Dragons,Cutieneer community has been crazy about dragons for some time.,Blockchain Cuties Universe,3 min read,"Jan 9,",2019.0,4.2K,,Crytography
The Best Blockchain Development Resources On Medium,,BlockCentric,5 min read,"Mar 24,",2020.0,459,,Crytography
Beyond Cryptocurrency: Pushing Digital Frontiers with Blockchain,,,8 min read,"Apr 11,",2018.0,333,5 responses,Crytography
"Databases and Blockchains, The Difference Is In Their Purpose And Design",,HackerNoon.com,17 min read,"Aug 4,",2018.0,624,4 responses,Crytography
3 signs that showed Anthony Scaramucci Bitcoin was ready for institutional investment,,@blockchain,2 min read,Feb 12,,248,5 responses,Crytography
A NON BLOCKCHAIN-Y PERSON EXPLAINS CIVIL,,Civil,10 min read,"Jul 28,",2018.0,423,4 responses,Crytography
Blockchains are not companies,,,5 min read,"Sep 3,",2018.0,926,3 responses,Crytography
On Accelerating Blockchain Evolution Using Different Funding and Team Models,,The Internet Computer Review,5 min read,"Aug 26,",2017.0,749,8 responses,Crytography
The Next Generation of Blockchain Startups Will Be a Convergence of Utility Tokens and Private Equity,,HackerNoon.com,11 min read,"Oct 18,",2018.0,3.3K,,Crytography
The Blockchain Scalability Problem & the Race for Visa-Like Transaction Speed,,Towards Data Science,14 min read,"Jan 30,",2019.0,463,4 responses,Crytography
"A Universe Explodes: A Blockchain Book, from Editions At Play",,,8 min read,"Apr 4,",2017.0,173,17 responses,Crytography
Blockchain for Human Resources and Recruitment,"In the hiring and recruiting market, the biggest news of the last few months month has been the launch of Google Jobs into the US market. Following the Facebook jobs push, and the purchase of LinkedIn by Microsoft, what is left for the everyone…",,6 min read,"Jul 11,",2017.0,208,13 responses,Crytography
Introducing dotmoovs — a sports revolution fueled by a Blockchain and NFT powered platform,,,4 min read,May 10,,2.6K,11 responses,Crytography
Why I left Microsoft Data & AI team and become a researcher in Blockchain,This would be my first article sharing mostly my thoughts and learnings based on my working experiences in startups and big companies like…,Code Like A Girl,4 min read,"Sep 9,",2018.0,723,1 response,Crytography
5 Common Myths about Blockchain and Bitcoin,,Blockchain Bistro,7 min read,"Aug 19,",2018.0,548,1 response,Crytography
Identity in Blockchain,"In our last article, we talked about the main entities of a blockchain. We concluded that nodes make up the…",Horizen,2 min read,"Jan 21,",2020.0,548,,Crytography
Blockchain Virtual Mining: Proof-of-Anything,,HackerNoon.com,3 min read,"Sep 17,",2017.0,788,3 responses,Crytography
Bringing the benefits of DeFi to emerging content creators on Theta blockchain,,Theta Network,3 min read,"Sep 3,",2020.0,1.3K,1 response,Crytography
"Coinbase to acquire leading blockchain infrastructure platform, Bison Trails",,The Coinbase Blog,3 min read,Jan 20,,359,,Crytography
10 Best Blockchain Courses and Certification in 2021,,Javarevisited,13 min read,"Oct 10,",2020.0,315,4 responses,Crytography
5 Potential Use Cases for Blockchain in Agriculture,,Future of Agriculture,4 min read,"Jan 4,",2018.0,317,4 responses,Crytography
"Announcing VeChain Sync 2 — Unlocking Revolution For The Entire Blockchain dApp Industry, Enabling Seamless User…",,VeChain Foundation,5 min read,Jan 27,,1K,3 responses,Crytography
Theta Network Launches in Japan with LINE Blockchain THETA.tv app,,Theta Network,9 min read,Mar 9,,1K,1 response,Crytography
Blockchain Adoption and Digital Privacy,"When I taught strategy to MBA students, an important concept for students to understand…",MIT Cryptoeconomics Lab,4 min read,"May 7,",2018.0,1.5K,7 responses,Crytography
Restart Energy A Decentralized and Delocalized Electrical Energy Supply Platform On The Blockchain,Restart Energy is an advanced energy providers who is now building a worldwide decentralized and delocalized electrical energy supply platform that encompasses…,HackerNoon.com,9 min read,"Feb 12,",2018.0,551,,Crytography
"Bitcoin Near $50,000 This is Right Time To Invest",,The Better Life,4 min read,Aug 26,,5,2 responses,Crytography
"If you had the supernatural power to make a piece of text last forever, what would it be? Our answer is A Declaration…",,LikeCoin — Decentralized Publishing Infrastructure,6 min read,Aug 27,,1,,Crytography
Structure Finance — Telegram AMA — August 19,"On Thursday, August 19, we had the pleasure to welcome to our Telegram chat:",GAINS Associates,10 min read,Aug 28,,50,,Crytography
Can Web 3.0 Awaken the Internet’s True Potential? (Part 3),,OntologyNetwork,4 min read,Aug 27,,,,Crytography
SolidProof Offers Free Audit for DeFi projects in a Community Tournament,,The Capital,3 min read,Aug 27,,1,,Crytography
Konstellation Ask Me Anything Summary (AMA) — August 25th 2021,,,5 min read,Aug 28,,,,Crytography
3 Ways Technology Can Help Build a Better World,,Spirit of Crypto,1 min read,Aug 27,,1,,Crytography
Ethermon Community Round Up August 27th 2021,Ethermon community continues to thrive and show strong signs of growth across the…,Ethermon,4 min read,Aug 28,,,,Crytography
The Zeitgeist Behind DeWi and the Path Towards a Secure Data Chain,,,5 min read,Aug 28,,,,Crytography
NFTPad x 2Crazy — STRATEGIC PARTNERSHIP,We are delighted to announce that NFTPad has entered into a strategic partnership with…,,2 min read,Aug 28,,50,,Crytography
How to Participate in Blockchain Governance in Good Faith (and with Good Manners),,,3 min read,"Oct 22,",2018.0,895,5 responses,Crytography
Blockchain: Business Processes of the Future,Companies currently operate entire departments such as payroll or invoicing…,ConsenSys Media,4 min read,"Oct 3,",2017.0,617,2 responses,Crytography
Intro to Crypto by Blockchain.com,People new to the world of cryptocurrency and blockchain technology often ask us where they can…,@blockchain,3 min read,"Mar 27,",2020.0,307,1 response,Crytography
hash สมการเบื้องหลัง bitcoin (blockchain),,Dcen.io,4 min read,"Dec 14,",2017.0,270,1 response,Crytography
"Why Blockchains Don’t Suck, and the Perils of Distributed Databases",,,13 min read,"Jul 13,",2018.0,784,2 responses,Crytography
Bitcoin was given to us by aliens and we’re a node in a Universal Proof of Stake Blockchain,,,2 min read,"Nov 10,",2017.0,461,4 responses,Crytography
WebAssembly & The Future of Blockchain Computing,,,6 min read,"Sep 6,",2018.0,732,1 response,Crytography
,,StarkWare,3 min read,"May 14,",2018.0,595,7 responses,Crytography
The blockchain economy: what should the government do?,,Cryptoeconomics Australia,10 min read,"Nov 11,",2017.0,546,3 responses,Crytography
A Guide for Blockchain Usage Metrics,,,3 min read,"Jun 3,",2018.0,550,3 responses,Crytography
Cashflow on the Blockchain Part I: Tokenized Debt and Security Tokens,,HackerNoon.com,5 min read,"Dec 11,",2018.0,773,1 response,Crytography
Blockchain is inventing the Internet of Trusted Things,,ICO Alert,5 min read,"Jan 25,",2018.0,604,1 response,Crytography
The Money of the Future will be built from Blockchain and AI Lego,,Fetch.ai,5 min read,"Jul 29,",2020.0,3K,4 responses,Crytography
Forbes Blockchain 50 Data Deep Dive,Forbes recently published the second edition of its Blockchain 50. The list aims to capture the…,Blockdata,4 min read,"Mar 4,",2020.0,1.1K,3 responses,Crytography
Blockchain fees are broken. Here are 3 proposals to fix them.,,HackerNoon.com,19 min read,"Jun 3,",2019.0,901,8 responses,Crytography
"A.I. Is Awesome, Blockchain Is a Powerhouse. But Here’s What Combining Them Could Do",,Inc Magazine,5 min read,"May 12,",2018.0,354,1 response,Crytography
Asylo and its Place Next To The Blockchain,"Privacy is well understood to be a problem in the blockchain ecosystem, where, by…",Google Cloud - Community,7 min read,Jan 19,,620,2 responses,Crytography
Bitcoin’s implementation of Blockchain,We have already covered the basics of Blockchain in our previous post. Blockchain is a…,All Things Ledger,7 min read,"Dec 8,",2016.0,501,3 responses,Crytography
Enjin Beam: The Fastest Way to Receive Cryptocurrencies & Blockchain Assets,,Enjin,5 min read,"Nov 21,",2018.0,1.7K,2 responses,Crytography
[ANN] MediBloc to build its own blockchain platform and conduct 1:1 AIRDROP of ERC20 token!,,MediBloc,3 min read,"May 21,",2018.0,1.4K,2 responses,Crytography
Cross-Chain Bridges: Paving the Way to Internet of Blockchains,,POA Network,7 min read,"Nov 15,",2017.0,756,,Crytography
Blockchain: what are the opportunities for Procurement?,,Procurement Tidbits,12 min read,"Jul 17,",2017.0,347,4 responses,Crytography
How to avoid crypto scams on social media,"Social media is a great way to connect with others, stay informed and express yourself…",@blockchain,2 min read,"Apr 8,",2020.0,301,14 responses,Crytography
,,,27 min read,"Feb 24,",2016.0,327,5 responses,Crytography
War of Crypto: Epic Blockchain Game Powered by Enjin,,Enjin,4 min read,"May 15,",2018.0,1.7K,2 responses,Crytography
"Announcing Cahrenheit, a Blockchain-Based Ecosystem for the Automotive Industry Powered by the VeChainThor Blockchain",,,6 min read,"Jul 19,",2018.0,1.2K,3 responses,Crytography
Bitcoin & Blockchain explained for normal people,,,7 min read,"Apr 6,",2018.0,379,8 responses,Crytography
Nimiq Makes Fiat Currencies Blockchain-Compatible,,Nimiq,5 min read,"Feb 28,",2019.0,1.6K,,Crytography
Beam Blockchain Stop Event 01/21/2019 — Post-Mortem,,BEAM Privacy,2 min read,"Jan 21,",2019.0,1.7K,,Crytography
Trust Platform — Paving a Path to Mass Adoption of Blockchain,,,4 min read,"Jun 3,",2018.0,704,4 responses,Crytography
Bluzelle — How bank collaborations with blockchain startups serve both well,,The Blueprint by Bluzelle,4 min read,"Nov 16,",2017.0,353,1 response,Crytography
Blockchain as a Data Structure,The first use case for blockchain technology is digital money. To have a monetary system without central…,Horizen,10 min read,"Aug 21,",2020.0,271,,Crytography
Blockchains for Big Data,,Ocean Protocol,7 min read,"Nov 18,",2016.0,366,8 responses,Crytography
Education in Blockchain and DLT: How to Acquire the Necessary Knowledge with a Workload of 10,,,15 min read,"Oct 16,",2019.0,480,4 responses,Crytography
AWS Services Enable One-Click VeChainThor Blockchain Deployment for Enterprises,,,3 min read,"Feb 18,",2019.0,1.7K,1 response,Crytography
Blockchain Ecology: The Key to a Prosperous Economic Future,,INSURGE intelligence,7 min read,"Dec 15,",2017.0,626,8 responses,Crytography
What I’ve Learned as a Research Scholar at UC Berkeley Blockchain Lab,,The Startup,6 min read,"Jul 31,",2019.0,798,1 response,Crytography
The Power of Blockchain Based Games Lies in Third Party Support,,The B.C.U. Times,4 min read,"Jun 29,",2019.0,260,,Crytography
Blockchain is Reshaping the Banking Sector,"The banking industry is strictly regulated in all jurisdictions, while banking sector…",UniversaBlockchain,6 min read,"Jun 6,",2018.0,1K,1 response,Crytography
Hyperledger : Linux แห่งโลก Blockchain,,,3 min read,"Dec 29,",2017.0,283,,Crytography
"Announcing BancorX, the First Cross-Blockchain Decentralized Liquidity Network",,Bancor,4 min read,"Sep 20,",2018.0,2.2K,4 responses,Crytography
Flaws of Blockchains and Perspectives on Cryptocurrencies,,Holochain,5 min read,"Mar 16,",2016.0,430,7 responses,Crytography
The blockchain-enabled intelligent IoT economy,,,13 min read,"Oct 15,",2018.0,612,,Crytography
Blockchain Blind Spots,,,2 min read,"Apr 1,",2018.0,536,6 responses,Crytography
The Future of Freelancing on the Blockchain,"I’ve been working as a freelancer since I was 16, My first job was as PHP Developer…",,3 min read,"Oct 21,",2017.0,587,2 responses,Crytography
Electroneum solves no problem in the blockchain space,,,2 min read,"Oct 8,",2017.0,510,17 responses,Crytography
10 Ways Blockchain Is Revolutionizing Smart Cities,,Smartcity World,5 min read,"Jun 30,",2018.0,280,3 responses,Crytography
"Avalanche to Unveil Novel Blockchain Features with Apricot, its First Major Upgrade",,Avalanche,3 min read,"Nov 14,",2020.0,1.3K,1 response,Crytography
What is blockchain and what are some applications of blockchain?,"Blockchain is the technology behind bitcoin, ether, and most other cryptocurrencies. Bitcoin is…",,4 min read,"Aug 23,",2017.0,469,2 responses,Crytography
How Blockchains Will Become Targets for Hostile Takeovers,,,4 min read,"Apr 17,",2018.0,369,6 responses,Crytography
A Technical Overview of the Lamden Tau Blockchain,"EDITORS NOTE (September 1, 2020): This information is no longer valid. Please see: https://blog.lamden.io/a-complete-overview-of-the-lamden-suite-2eb43c730b40 for a more up to date picture. This article serves as a historical artifact so you…",Lamden,8 min read,"Nov 16,",2017.0,748,7 responses,Crytography
Blockchain-Powered Ads To Disrupt Digital Marketing,,The Startup,14 min read,"Aug 2,",2018.0,633,8 responses,Crytography
The Content is the Platform: why we bought Pixowl and how the blockchain matters,,,9 min read,"Aug 29,",2018.0,2.2K,2 responses,Crytography
1st Anniversary and Blockchain Cuties Universe,"Dear friends, followers and Cutieneers,Today is a very special day for…",Blockchain Cuties Universe,5 min read,"Dec 29,",2018.0,3K,4 responses,Crytography
Your Tokens Are Super Safe With Enjin Wallet,"Cutieneers, you know we are on a mission to take over the world. One cutie at a…",Blockchain Cuties Universe,2 min read,"Oct 25,",2018.0,3.3K,5 responses,Crytography
"If you understand Hash Functions, you’ll understand Blockchains",,Decentralize.Today,3 min read,"Nov 29,",2016.0,281,3 responses,Crytography
How to create certificates on the Ethereum blockchain — Part 1,,Coinmonks,6 min read,"Jul 21,",2018.0,519,5 responses,Crytography
How the Blockchain Will Conquer the World and Why History Shows Bitcoin Might not be The Revolution we Assume,,HackerNoon.com,5 min read,"Jan 15,",2018.0,575,7 responses,Crytography
La Revolución del Blockchain y el Gobierno de las Organizaciones Descentralizadas,,Astec,6 min read,"Nov 11,",2017.0,257,1 response,Crytography
Blockchain y el Nuevo Modelo de Financiamiento de la Internet Descentralizada.,,Astec,5 min read,"Nov 12,",2017.0,218,,Crytography
Will blockchain “destroy” human trust?,,,5 min read,"Nov 6,",2017.0,456,3 responses,Crytography
8 Free Courses to Learn Blockchain Development in 2021,,Javarevisited,10 min read,"May 18,",2020.0,474,2 responses,Crytography
Collaboration 2.0: The Future of Work is on the Blockchain,,ConsenSys Media,6 min read,"Mar 5,",2018.0,661,2 responses,Crytography
Blockchain Scaling Solutions: Cosmos and Plasma,,Tendermint Blog,19 min read,"Sep 24,",2018.0,493,3 responses,Crytography
Snovio Wants To Change The Lead Generation Process For All Businesses Using Blockchain Technology,,,3 min read,"Jan 2,",2018.0,158,,Crytography
Making Blockchain Technology Accessible to Business — The Launch of Horizen Labs,,,3 min read,"Apr 11,",2019.0,600,1 response,Crytography
SwissBorg’s First Referendum on the Blockchain: Results & Promise,,SwissBorg DAO,3 min read,"Apr 10,",2018.0,1K,1 response,Crytography
The Ethereum Blockchain and ERC20 Tokens: Technical Challenges and Solutions for 2019 and Beyond,,Ethex,6 min read,"Oct 25,",2018.0,406,,Crytography
Heterodox Economics And The Rise Of The Blockchains,,,33 min read,"Mar 3,",2019.0,591,4 responses,Crytography
The “Fast” & “Mainstream” Adoption of AI & Blockchain,,HackerNoon.com,5 min read,"Jun 10,",2018.0,552,1 response,Crytography
Simultaneous Backend & Frontend Development: Combining the Best of Blockchain & Gaming.,,,4 min read,Feb 25,,3.3K,,Crytography
"Blockchain is a mean, not an end.",,,2 min read,"Jun 15,",2018.0,1.6K,2 responses,Crytography
"VeChain Becomes The First 5-Star-Rated Blockchain Service Provider In The World, Certified By TÜV Saarland, A…",,VeChain Foundation,4 min read,"Dec 22,",2020.0,781,2 responses,Crytography
ทำไม Hashing Algorithm ใน Blockchain ถึงสำคัญ,,Dcen.io,4 min read,"May 5,",2018.0,415,1 response,Crytography
"A Complete List of Blockchain, Crypto and ICO Resources",,,9 min read,"Oct 13,",2017.0,384,4 responses,Crytography
Fat Protocols Vs. DApps: Creating Long Term Value on the Public Blockchain,,HackerNoon.com,9 min read,"May 2,",2018.0,706,5 responses,Crytography
Anti-fragile Blockchain,,,5 min read,"Jun 4,",2016.0,384,1 response,Crytography
Three Predictions on Blockchain & Bitcoin,,,6 min read,"Jan 3,",2018.0,868,4 responses,Crytography
Viacoin Investment Review,,,8 min read,"Jun 13,",2017.0,385,3 responses,Crytography
Deloitte: 95% of Companies Surveyed Are Investing in Blockchain Tech,,ConsenSys Media,2 min read,"Jan 16,",2019.0,820,2 responses,Crytography
"Blockchain Transmission Protocol (BTP) Architecture, Economics, and Key Differentiators",,Hello ICON World,5 min read,Mar 25,,1K,4 responses,Crytography
"Theta Labs launches the Blockchain Advisory Council, led by Steve Dakh",,Theta Network,2 min read,"Mar 2,",2018.0,1.1K,3 responses,Crytography
Virtual Real Estate — A virtual property that can be owned on the blockchain!,,CosmosCR,4 min read,"Dec 18,",2018.0,729,2 responses,Crytography
BLOCKCHAIN + GAMING + EARN FREE CRYPTO (AIR MINING) + PASSIVE INCOME GENERATION + DECENTRALIZED ADVERTISING ECONOMY,,Worldopo,4 min read,"Nov 25,",2018.0,446,2 responses,Crytography
QTUM: Building a Better Blockchain Governance,Bitcoin has a governance problem.,HackerNoon.com,8 min read,"Jul 4,",2017.0,247,76 responses,Crytography
Connect To All Blockchain Environments Through A Single Chainlink Integration,,,9 min read,"Jul 17,",2020.0,811,4 responses,Crytography
Blockchain is disrupting the $700 billion remittance industry,,,4 min read,"Mar 7,",2019.0,981,3 responses,Crytography
Binance will support TRON blockchain upgrade and token migration,,TRON,1 min read,"May 9,",2018.0,765,,Crytography
Blockchain y Justicia Descentralizada — Conferencia en Colombia,,Astec,1 min read,"Sep 18,",2019.0,108,1 response,Crytography
A closer look at Pundi X Blockchain-based point of sale (POS) system,,Pundi X,4 min read,"Jul 23,",2018.0,887,3 responses,Crytography
A Tactical Guide to Investing in Blockchain Assets,,The Control,5 min read,"Jan 26,",2017.0,98,1 response,Crytography
Recreating Google’s PageRank on The Bitcoin Blockchain,,,11 min read,"Jan 15,",2016.0,86,9 responses,Crytography
Boston Blockchain Guide,,,6 min read,"Nov 2,",2017.0,530,5 responses,Crytography
$10K — The Bitcoin Price Streak Continues,,@blockchain,9 min read,"Oct 13,",2020.0,162,2 responses,Crytography
Stobox partnered with a blockchain advisory firm Marengo Knoll,,,1 min read,Jan 25,,2.1K,67 responses,Crytography
Mercor Finance Adds Blockchain Veteran Deeban Ratneswaran As a Strategic Advisor,,,2 min read,Jun 8,,1.6K,,Crytography
You Can Make Money Right Now Playing Games on the Blockchain,,ConsenSys Media,5 min read,"Jan 31,",2019.0,743,6 responses,Crytography
The top 10 blockchain trends for 2021,These 10 blockchain trends will take center stage in 2021. From DeFi to IOTA to supply chain…,Coinmonks,13 min read,Feb 26,,231,2 responses,Crytography
7 Big Obstacles To Mass Adoption Of Blockchain Technology,,The Crypto Times,7 min read,"Mar 29,",2018.0,559,5 responses,Crytography
Binance Leverages the Elrond Blockchain for Fast & Inexpensive BUSD Stablecoin Transfers,,Elrond Network,4 min read,"Apr 24,",2020.0,1.8K,3 responses,Crytography
Origin (OGN) and Enjin Coin (ENJ) now available on the Blockchain.com Exchange,,@blockchain,4 min read,"Oct 15,",2020.0,322,3 responses,Crytography
Populous World successfully closes world’s first invoice sale on the blockchain.,,Populous World,2 min read,"May 30,",2018.0,991,1 response,Crytography
When the Game Stops,,@blockchain,13 min read,Feb 8,,258,3 responses,Crytography
Introducing Guild of Guardians — the world’s first AAA blockchain RPG,,,4 min read,Mar 4,,628,8 responses,Crytography
Blockchain Powered Platforms: Tokens,,Stories of Platform Design,10 min read,"Oct 12,",2017.0,379,1 response,Crytography
How to quickly buy XLM,"The crypto markets are moving, and you can get in early to the next bitcoin.",@blockchain,1 min read,"Dec 24,",2020.0,134,5 responses,Crytography
AppCoins: The First Blockchain-Based Protocol For The App Stores,,,3 min read,"Oct 11,",2017.0,1.1K,4 responses,Crytography
[ANN] X Blockchain Meetup 2017,,Pundi X,1 min read,"Oct 9,",2017.0,16,2 responses,Crytography
Blockchain as a Data Structure,Welcome to the very first article in the technology section of our Horizen Academy. The first two…,Horizen,2 min read,"Jan 18,",2020.0,453,,Crytography
Quant Network’s Overledger: Part One Blockchain Fundamentals,,,13 min read,"Mar 26,",2019.0,1.3K,1 response,Crytography
Blockchain Programming for New Developers — II,,,6 min read,"Nov 16,",2018.0,470,1 response,Crytography
Capture the Coin — Blockchain Category Solutions,,The Coinbase Blog,11 min read,"Dec 6,",2019.0,148,,Crytography
Identity on Blockchain (Part I),,FACILELOGIN,24 min read,"Sep 17,",2017.0,365,3 responses,Crytography
How Blockchain Could Kill Both Cable and Netflix,,Theta Network,5 min read,"Jan 30,",2018.0,834,2 responses,Crytography
Alexander Borodich: Blockchain companies are replacing SWIFT,"The Russian Universa Blockchain Platform for business has been live for only 9 months. In this time the project managed to raise $28,5 mln during the Token Sale, create blockchain which is “fast and cheap” and make…",UniversaBlockchain,7 min read,"Apr 6,",2018.0,1K,3 responses,Crytography
NFT — An Introduction To The Blockchain For Photographers And Creatives,,High-Definition Pro,10 min read,Mar 1,,464,1 response,Crytography
Step by step to convert USDT from ERC-20 Blockchain to Solana Blockchain using Sollet wallet,,,3 min read,May 28,,149,7 responses,Crytography
Trust | Want | Need,,@blockchain,11 min read,Mar 5,,330,6 responses,Crytography
"Token Economy 101, or why Blockchain-powered decentralized networks are important",,,13 min read,"Jun 6,",2017.0,369,3 responses,Crytography
The One Thing Missing from the ERC 721 Standard for Digital Collectibles on the Blockchain,,HackerNoon.com,8 min read,"Sep 2,",2018.0,428,7 responses,Crytography
How Blockchain-Based Bounties Can Reinvent Our Social Impact Systems and Incentivize Action,,Bounties Network,7 min read,"Apr 12,",2018.0,615,4 responses,Crytography
Understanding The Gold Rush of Scalable and Validated Data powered by Blockchain and Decentralized AI,,HackerNoon.com,14 min read,"Mar 11,",2018.0,1.2K,,Crytography
Sell in May and Go Away?,,@blockchain,20 min read,"May 8,",2020.0,388,2 responses,Crytography
Quantum Computing: Is it the end of blockchain?,,HackerNoon.com,6 min read,"Jun 6,",2018.0,510,3 responses,Crytography
5 Governments That Actually Support Blockchain Innovation,,SingularDTV,4 min read,"Sep 11,",2017.0,565,5 responses,Crytography
"Meet Mappy, Happy, and Dappy: Personas for Blockchain Product Management",,HackerNoon.com,10 min read,"Jan 24,",2019.0,1.6K,5 responses,Crytography
"The Network of Networks, Scalable Interoperability to Unleash the True Potential of Blockchain",,,16 min read,"Feb 23,",2020.0,2.4K,1 response,Crytography
What Is a Blockchain?,,MIT Technology Review,6 min read,"Apr 23,",2018.0,380,,Crytography
